dataset,granularity,family,model,fold,method,ece_equal_width,ece_equal_mass,best_equal_width,best_equal_mass
algebra2005,concept,deep,dkt,0,none,0.009364981241350946,0.01016754290305094,isotonic,isotonic
algebra2005,concept,deep,dkt,0,platt,0.007281589272573994,0.006890117237092732,isotonic,isotonic
algebra2005,concept,deep,dkt,0,isotonic,0.006374502552125651,0.00628885243201442,isotonic,isotonic
algebra2005,concept,deep,dkt,0,temperature,0.010540737832652861,0.010470646023715554,isotonic,isotonic
algebra2005,concept,deep,dkt,1,none,0.005859255565591514,0.006516990062500452,temperature,temperature
algebra2005,concept,deep,dkt,1,platt,0.007556093527871942,0.007864778222501954,temperature,temperature
algebra2005,concept,deep,dkt,1,isotonic,0.005797773175308806,0.00635102909504457,temperature,temperature
algebra2005,concept,deep,dkt,1,temperature,0.003976440647926451,0.004744614304603828,temperature,temperature
algebra2005,concept,deep,dkt,2,none,0.003852718495234163,0.0037437841233881183,temperature,isotonic
algebra2005,concept,deep,dkt,2,platt,0.005832750048022763,0.006052039403004128,temperature,isotonic
algebra2005,concept,deep,dkt,2,isotonic,0.003559223044171273,0.003284732478970077,temperature,isotonic
algebra2005,concept,deep,dkt,2,temperature,0.0031933132737462316,0.0037930127344396984,temperature,isotonic
algebra2005,concept,deep,dkt,3,none,0.0031618876401500835,0.0031922929376827693,isotonic,isotonic
algebra2005,concept,deep,dkt,3,platt,0.0033586108682814512,0.0031525608603070816,isotonic,isotonic
algebra2005,concept,deep,dkt,3,isotonic,0.002485079011042532,0.0021046705749795335,isotonic,isotonic
algebra2005,concept,deep,dkt,3,temperature,0.0034164606279064144,0.0034442415620987523,isotonic,isotonic
algebra2005,concept,deep,dkt,4,none,0.00584591754192883,0.005114114933172103,isotonic,isotonic
algebra2005,concept,deep,dkt,4,platt,0.002798598142315,0.0026994642860129134,isotonic,isotonic
algebra2005,concept,deep,dkt,4,isotonic,0.001642277179815256,0.0025419977376704406,isotonic,isotonic
algebra2005,concept,deep,dkt,4,temperature,0.003475327366757441,0.0034151906971953976,isotonic,isotonic
algebra2005,concept,deep,sakt,0,none,0.029569697363122493,0.02906799925408537,temperature,temperature
algebra2005,concept,deep,sakt,0,platt,0.007138400783586672,0.007805229757012286,temperature,temperature
algebra2005,concept,deep,sakt,0,isotonic,0.00689179406330663,0.006916341218168254,temperature,temperature
algebra2005,concept,deep,sakt,0,temperature,0.004736690243393066,0.005613990240979024,temperature,temperature
algebra2005,concept,deep,sakt,1,none,0.028000225702417055,0.02776732700503486,temperature,temperature
algebra2005,concept,deep,sakt,1,platt,0.007523952088350293,0.0076924473656839925,temperature,temperature
algebra2005,concept,deep,sakt,1,isotonic,0.006739174146852229,0.006753568427075302,temperature,temperature
algebra2005,concept,deep,sakt,1,temperature,0.0036054238488256543,0.003932013009364165,temperature,temperature
algebra2005,concept,deep,sakt,2,none,0.02560134505072354,0.025547328788247302,temperature,temperature
algebra2005,concept,deep,sakt,2,platt,0.004364980919943424,0.005293914064037757,temperature,temperature
algebra2005,concept,deep,sakt,2,isotonic,0.004430170320740622,0.0053128765435327165,temperature,temperature
algebra2005,concept,deep,sakt,2,temperature,0.004286386486990907,0.005219525421438662,temperature,temperature
algebra2005,concept,deep,sakt,3,none,0.02173147501190255,0.022198441442829984,platt,platt
algebra2005,concept,deep,sakt,3,platt,0.0027674651858301726,0.0026352479689203574,platt,platt
algebra2005,concept,deep,sakt,3,isotonic,0.004150203573837841,0.002903449524191357,platt,platt
algebra2005,concept,deep,sakt,3,temperature,0.012098575916348364,0.012413993719168499,platt,platt
algebra2005,concept,deep,sakt,4,none,0.022701903371821045,0.021454707364206255,isotonic,isotonic
algebra2005,concept,deep,sakt,4,platt,0.0036143692452355295,0.0033590511627251563,isotonic,isotonic
algebra2005,concept,deep,sakt,4,isotonic,0.0024134632663364492,0.002152992703238873,isotonic,isotonic
algebra2005,concept,deep,sakt,4,temperature,0.007915058056643994,0.00850393743624042,isotonic,isotonic
algebra2005,concept,deep,akt,0,none,0.0039346539124985565,0.003715204232547115,none,none
algebra2005,concept,deep,akt,0,platt,0.007301854562544825,0.007907708818383699,none,none
algebra2005,concept,deep,akt,0,isotonic,0.007145737599466832,0.007153123566020273,none,none
algebra2005,concept,deep,akt,0,temperature,0.004798381793134602,0.005253583754588977,none,none
algebra2005,concept,deep,akt,1,none,0.0041560290620888595,0.0028278058280630978,none,none
algebra2005,concept,deep,akt,1,platt,0.008061624501045249,0.008579970208979668,none,none
