dataset,granularity,family,model,fold,method,ece,auc,n_test,n_students
algebra2005,concept,deep,dkt,0,none,0.009364981241350946,0.9196685270899495,134674,114
algebra2005,concept,deep,dkt,0,platt,0.007281589272573994,0.9196685270899495,134674,114
algebra2005,concept,deep,dkt,0,isotonic,0.006374502552125651,0.9196226712028028,134674,114
algebra2005,concept,deep,dkt,0,temperature,0.010540737832652861,0.9196685270899495,134674,114
algebra2005,concept,deep,dkt,1,none,0.005859255565591514,0.9190939691464745,134674,114
algebra2005,concept,deep,dkt,1,platt,0.007556093527871942,0.9190939691464745,134674,114
algebra2005,concept,deep,dkt,1,isotonic,0.005797773175308806,0.9190895608811991,134674,114
algebra2005,concept,deep,dkt,1,temperature,0.003976440647926451,0.9190939691464745,134674,114
algebra2005,concept,deep,dkt,2,none,0.003852718495234163,0.9192089936862047,134674,114
algebra2005,concept,deep,dkt,2,platt,0.005832750048022763,0.9192089936862047,134674,114
algebra2005,concept,deep,dkt,2,isotonic,0.003559223044171273,0.9191511471775983,134674,114
algebra2005,concept,deep,dkt,2,temperature,0.0031933132737462316,0.9192089936862047,134674,114
algebra2005,concept,deep,dkt,3,none,0.0031618876401500835,0.9195900566586206,134674,114
algebra2005,concept,deep,dkt,3,platt,0.0033586108682814512,0.9195900566586206,134674,114
algebra2005,concept,deep,dkt,3,isotonic,0.002485079011042532,0.9194654747339427,134674,114
algebra2005,concept,deep,dkt,3,temperature,0.0034164606279064144,0.9195900566586206,134674,114
algebra2005,concept,deep,dkt,4,none,0.00584591754192883,0.9204850491287214,134674,114
algebra2005,concept,deep,dkt,4,platt,0.002798598142315,0.9204850491287214,134674,114
algebra2005,concept,deep,dkt,4,isotonic,0.001642277179815256,0.9203774247921241,134674,114
algebra2005,concept,deep,dkt,4,temperature,0.003475327366757441,0.9204850491287214,134674,114
algebra2005,concept,deep,sakt,0,none,0.029569697363122493,0.9051531816043996,134674,114
algebra2005,concept,deep,sakt,0,platt,0.007138400783586672,0.9051531816043996,134674,114
algebra2005,concept,deep,sakt,0,isotonic,0.00689179406330663,0.9051010353831541,134674,114
algebra2005,concept,deep,sakt,0,temperature,0.004736690243393066,0.9051531816043996,134674,114
algebra2005,concept,deep,sakt,1,none,0.028000225702417055,0.905827270584943,134674,114
algebra2005,concept,deep,sakt,1,platt,0.007523952088350293,0.905827270584943,134674,114
algebra2005,concept,deep,sakt,1,isotonic,0.006739174146852229,0.9057525311969838,134674,114
algebra2005,concept,deep,sakt,1,temperature,0.0036054238488256543,0.905827270584943,134674,114
algebra2005,concept,deep,sakt,2,none,0.02560134505072354,0.9060010137885467,134674,114
algebra2005,concept,deep,sakt,2,platt,0.004364980919943424,0.9060010137885467,134674,114
algebra2005,concept,deep,sakt,2,isotonic,0.004430170320740622,0.9059522505826478,134674,114
algebra2005,concept,deep,sakt,2,temperature,0.004286386486990907,0.9060010137885467,134674,114
algebra2005,concept,deep,sakt,3,none,0.02173147501190255,0.9060254806832495,134674,114
algebra2005,concept,deep,sakt,3,platt,0.0027674651858301726,0.9060254806832495,134674,114
algebra2005,concept,deep,sakt,3,isotonic,0.004150203573837841,0.905904904242285,134674,114
algebra2005,concept,deep,sakt,3,temperature,0.012098575916348364,0.9060254806832495,134674,114
algebra2005,concept,deep,sakt,4,none,0.022701903371821045,0.9072010842337234,134674,114
algebra2005,concept,deep,sakt,4,platt,0.0036143692452355295,0.9072010842337234,134674,114
algebra2005,concept,deep,sakt,4,isotonic,0.0024134632663364492,0.9071386412529592,134674,114
algebra2005,concept,deep,sakt,4,temperature,0.007915058056643994,0.9072010842337234,134674,114
algebra2005,concept,deep,akt,0,none,0.0039346539124985565,0.9158220471161531,134674,114
algebra2005,concept,deep,akt,0,platt,0.007301854562544825,0.9158220471161531,134674,114
algebra2005,concept,deep,akt,0,isotonic,0.007145737599466832,0.9157718137710049,134674,114
algebra2005,concept,deep,akt,0,temperature,0.004798381793134602,0.9158220471161531,134674,114
algebra2005,concept,deep,akt,1,none,0.0041560290620888595,0.9161926266019933,134674,114
algebra2005,concept,deep,akt,1,platt,0.008061624501045249,0.9161926266019933,134674,114
algebra2005,concept,deep,akt,1,isotonic,0.007085577667196234,0.9161620859658153,134674,114
algebra2005,concept,deep,akt,1,temperature,0.004709911125188599,0.9161926266019933,134674,114
algebra2005,concept,deep,akt,2,none,0.007056007288520676,0.9152939488285795,134674,114
algebra2005,concept,deep,akt,2,platt,0.005327462094509477,0.9152939488285795,134674,114
algebra2005,concept,deep,akt,2,isotonic,0.004412116345873562,0.9152589553978352,134674,114
algebra2005,concept,deep,akt,2,temperature,0.005903669888714045,0.9152939488285795,134674,114
algebra2005,concept,deep,akt,3,none,0.013500967556552739,0.9169659701613181,134674,114
algebra2005,concept,deep,akt,3,platt,0.003730592820119516,0.9169659701613181,134674,114
algebra2005,concept,deep,akt,3,isotonic,0.0022850928275744576,0.916900327125436,134674,114
algebra2005,concept,deep,akt,3,temperature,0.005345027636141705,0.9169659701613181,134674,114
algebra2005,concept,deep,akt,4,none,0.0051571082464536774,0.9180183922400413,134674,114
algebra2005,concept,deep,akt,4,platt,0.004165768262242428,0.9180183922400413,134674,114
algebra2005,concept,deep,akt,4,isotonic,0.0028353143054432304,0.9179376299627884,134674,114
algebra2005,concept,deep,akt,4,temperature,0.0036934377340272725,0.9180183922400413,134674,114
algebra2005,concept,deep,simplekt,0,none,0.02371641297142935,0.9216699290318502,134674,114
algebra2005,concept,deep,simplekt,0,platt,0.011123575694071805,0.9216699290318502,134674,114
algebra2005,concept,deep,simplekt,0,isotonic,0.006008015465649171,0.9216396941814072,134674,114
algebra2005,concept,deep,simplekt,0,temperature,0.02040277805634798,0.9216699290318502,134674,114
algebra2005,concept,deep,simplekt,1,none,0.013873042681580124,0.9199216393824764,134674,114
algebra2005,concept,deep,simplekt,1,platt,0.007911709078147665,0.9199216393824764,134674,114
algebra2005,concept,deep,simplekt,1,isotonic,0.0077866608415152186,0.9198564774243719,134674,114
algebra2005,concept,deep,simplekt,1,temperature,0.00396058816085492,0.9199216393824764,134674,114
algebra2005,concept,deep,simplekt,2,none,0.029991370775586768,0.9226591527462177,134674,114
algebra2005,concept,deep,simplekt,2,platt,0.008789068201323063,0.9226591527462176,134674,114
algebra2005,concept,deep,simplekt,2,isotonic,0.004149508176719987,0.9225804746012172,134674,114
algebra2005,concept,deep,simplekt,2,temperature,0.0073318608970205125,0.9226591527462176,134674,114
algebra2005,concept,deep,simplekt,3,none,0.0292607678053685,0.9233369511108687,134674,114
algebra2005,concept,deep,simplekt,3,platt,0.005300579882481237,0.9233369511108687,134674,114
algebra2005,concept,deep,simplekt,3,isotonic,0.003212284394119809,0.9232706463239828,134674,114
algebra2005,concept,deep,simplekt,3,temperature,0.005242578929070043,0.9233369511108687,134674,114
algebra2005,concept,deep,simplekt,4,none,0.01777508933794809,0.9206125393138582,134674,114
algebra2005,concept,deep,simplekt,4,platt,0.005658848616611316,0.9206125393138582,134674,114
algebra2005,concept,deep,simplekt,4,isotonic,0.004129153977666996,0.9205396650439955,134674,114
algebra2005,concept,deep,simplekt,4,temperature,0.01683211136208298,0.9206125393138582,134674,114
algebra2005,question,deep,dkt,0,none,0.018426915918016085,0.8097696245775141,92945,114
algebra2005,question,deep,dkt,0,platt,0.008312324445455863,0.8097696245775141,92945,114
algebra2005,question,deep,dkt,0,isotonic,0.008396330527263539,0.809637267370432,92945,114
algebra2005,question,deep,dkt,0,temperature,0.02273924571089163,0.8097696245775141,92945,114
algebra2005,question,deep,dkt,1,none,0.009144125020173149,0.8080357389963512,92945,114
algebra2005,question,deep,dkt,1,platt,0.008111475930678711,0.8080357389963512,92945,114
algebra2005,question,deep,dkt,1,isotonic,0.008684374649873636,0.8079462882668265,92945,114
algebra2005,question,deep,dkt,1,temperature,0.006895630243694675,0.8080357389963512,92945,114
algebra2005,question,deep,dkt,2,none,0.009055900801549027,0.8086644417095498,92945,114
algebra2005,question,deep,dkt,2,platt,0.004320255758246756,0.8086644417095498,92945,114
algebra2005,question,deep,dkt,2,isotonic,0.005416607061297115,0.808489978656288,92945,114
algebra2005,question,deep,dkt,2,temperature,0.010364830873464292,0.8086644417095498,92945,114
algebra2005,question,deep,dkt,3,none,0.009450445962666166,0.8091499201553364,92945,114
algebra2005,question,deep,dkt,3,platt,0.005058809324899445,0.8091499201553364,92945,114
algebra2005,question,deep,dkt,3,isotonic,0.004145374683256566,0.808932934575099,92945,114
algebra2005,question,deep,dkt,3,temperature,0.009977411878956946,0.8091499201553364,92945,114
algebra2005,question,deep,dkt,4,none,0.011837706170316056,0.8114028527928571,92945,114
algebra2005,question,deep,dkt,4,platt,0.004280790819193314,0.8114028527928571,92945,114
algebra2005,question,deep,dkt,4,isotonic,0.003709444454636354,0.8112279966623188,92945,114
algebra2005,question,deep,dkt,4,temperature,0.009965629811024418,0.8114028527928571,92945,114
algebra2005,question,deep,sakt,0,none,0.05898694281564368,0.7840793202349562,92945,114
algebra2005,question,deep,sakt,0,platt,0.01407683863171134,0.7840793202349562,92945,114
algebra2005,question,deep,sakt,0,isotonic,0.009451996387790278,0.7840022179226387,92945,114
algebra2005,question,deep,sakt,0,temperature,0.0179734262747916,0.7840793202349562,92945,114
algebra2005,question,deep,sakt,1,none,0.057574791543385795,0.7836372571586054,92945,114
algebra2005,question,deep,sakt,1,platt,0.012470708716653602,0.7836372571586054,92945,114
algebra2005,question,deep,sakt,1,isotonic,0.010279013023199246,0.7835228700976231,92945,114
algebra2005,question,deep,sakt,1,temperature,0.02318110634889518,0.7836372571586054,92945,114
algebra2005,question,deep,sakt,2,none,0.05358530528807384,0.7847419805447255,92945,114
algebra2005,question,deep,sakt,2,platt,0.011679627669532825,0.7847419805447255,92945,114
algebra2005,question,deep,sakt,2,isotonic,0.006375238680334716,0.7846492083279516,92945,114
algebra2005,question,deep,sakt,2,temperature,0.023086909372561786,0.7847419805447255,92945,114
algebra2005,question,deep,sakt,3,none,0.0507204863091078,0.7860259427628653,92945,114
algebra2005,question,deep,sakt,3,platt,0.013258050853704567,0.7860259427628653,92945,114
algebra2005,question,deep,sakt,3,isotonic,0.006511678369181776,0.7858409821230306,92945,114
algebra2005,question,deep,sakt,3,temperature,0.03525089203851001,0.7860259427628653,92945,114
algebra2005,question,deep,sakt,4,none,0.05168080047339848,0.7852366001615037,92945,114
algebra2005,question,deep,sakt,4,platt,0.010565116140825033,0.7852366001615037,92945,114
algebra2005,question,deep,sakt,4,isotonic,0.004657631681734592,0.7850803133917443,92945,114
algebra2005,question,deep,sakt,4,temperature,0.026376528546296008,0.7852366001615037,92945,114
algebra2005,question,deep,akt,0,none,0.02222141696702365,0.8078821272921234,92945,114
algebra2005,question,deep,akt,0,platt,0.018262230134676233,0.8078821272921234,92945,114
algebra2005,question,deep,akt,0,isotonic,0.009306129569640983,0.8077883332003165,92945,114
algebra2005,question,deep,akt,0,temperature,0.019987245281255214,0.8078821272921234,92945,114
algebra2005,question,deep,akt,1,none,0.024972267470009153,0.8079369925714613,92945,114
algebra2005,question,deep,akt,1,platt,0.015268883295469552,0.8079369925714613,92945,114
algebra2005,question,deep,akt,1,isotonic,0.010154991167907343,0.8077904002391885,92945,114
algebra2005,question,deep,akt,1,temperature,0.01824112328297811,0.8079369925714613,92945,114
algebra2005,question,deep,akt,2,none,0.026762617677121008,0.806222830405819,92945,114
algebra2005,question,deep,akt,2,platt,0.016819176366650736,0.806222830405819,92945,114
algebra2005,question,deep,akt,2,isotonic,0.006110668513372631,0.8060620674646416,92945,114
algebra2005,question,deep,akt,2,temperature,0.01796923818398705,0.806222830405819,92945,114
algebra2005,question,deep,akt,3,none,0.03547684221851649,0.8110029377343073,92945,114
algebra2005,question,deep,akt,3,platt,0.01812057257919315,0.8110029377343073,92945,114
algebra2005,question,deep,akt,3,isotonic,0.003602366896473805,0.8107371746944547,92945,114
algebra2005,question,deep,akt,3,temperature,0.016938577330694544,0.8110029377343073,92945,114
algebra2005,question,deep,akt,4,none,0.02655652267470019,0.8133985898386386,92945,114
algebra2005,question,deep,akt,4,platt,0.017204357100465792,0.8133985898386386,92945,114
algebra2005,question,deep,akt,4,isotonic,0.0038247446275455413,0.8131578481029134,92945,114
algebra2005,question,deep,akt,4,temperature,0.016118439941207315,0.8133985898386386,92945,114
algebra2005,question,deep,simplekt,0,none,0.05390192909785373,0.8133940954138321,92945,114
algebra2005,question,deep,simplekt,0,platt,0.008114205955853708,0.8133940954138321,92945,114
algebra2005,question,deep,simplekt,0,isotonic,0.008114021450333847,0.813321911760243,92945,114
algebra2005,question,deep,simplekt,0,temperature,0.044530931305843215,0.8133940954138321,92945,114
algebra2005,question,deep,simplekt,1,none,0.04926466189682044,0.8140781603391303,92945,114
algebra2005,question,deep,simplekt,1,platt,0.017339394079326297,0.8140781603391303,92945,114
algebra2005,question,deep,simplekt,1,isotonic,0.011320260666461628,0.8139046612536004,92945,114
algebra2005,question,deep,simplekt,1,temperature,0.019294094374059136,0.8140781603391303,92945,114
algebra2005,question,deep,simplekt,2,none,0.0654253666146645,0.8152466188924636,92945,114
algebra2005,question,deep,simplekt,2,platt,0.009945991289896249,0.8152466188924636,92945,114
algebra2005,question,deep,simplekt,2,isotonic,0.004745092357259205,0.8151376675646416,92945,114
algebra2005,question,deep,simplekt,2,temperature,0.011276192323906085,0.8152466188924636,92945,114
algebra2005,question,deep,simplekt,3,none,0.0668053633869497,0.8166938538926767,92945,114
