dataset,granularity,model,fold,method,ece,best_lambda,n_concepts,n_concepts_fitted,share_rows_with_own_curve,n_test
algebra2005,concept,dkt,0,none,0.009364981241350946,5000.0,111,103,0.9754295558162674,134674
algebra2005,concept,dkt,0,isotonic,0.006374502552161281,5000.0,111,103,0.9754295558162674,134674
algebra2005,concept,dkt,0,concept_aware_lambda0,0.008041183990874926,5000.0,111,103,0.9754295558162674,134674
algebra2005,concept,dkt,0,concept_aware_eb,0.006060098106804418,5000.0,111,103,0.9754295558162674,134674
algebra2005,concept,dkt,0,difficulty_bucket,0.006386039540770847,5000.0,111,103,0.9754295558162674,134674
algebra2005,concept,dkt,1,none,0.005859255565591514,inf,112,102,0.9751473929637495,134674
algebra2005,concept,dkt,1,isotonic,0.005797773175215495,inf,112,102,0.9751473929637495,134674
algebra2005,concept,dkt,1,concept_aware_lambda0,0.007602607106649728,inf,112,102,0.9751473929637495,134674
algebra2005,concept,dkt,1,concept_aware_eb,0.005797773175215495,inf,112,102,0.9751473929637495,134674
algebra2005,concept,dkt,1,difficulty_bucket,0.005893143646770638,inf,112,102,0.9751473929637495,134674
algebra2005,concept,dkt,2,none,0.003852718495234163,inf,111,101,0.9750063115374905,134674
algebra2005,concept,dkt,2,isotonic,0.003559223044118704,inf,111,101,0.9750063115374905,134674
algebra2005,concept,dkt,2,concept_aware_lambda0,0.005057989877569037,inf,111,101,0.9750063115374905,134674
algebra2005,concept,dkt,2,concept_aware_eb,0.003559223044118704,inf,111,101,0.9750063115374905,134674
algebra2005,concept,dkt,2,difficulty_bucket,0.003555839631624844,inf,111,101,0.9750063115374905,134674
algebra2005,concept,dkt,3,none,0.0031618876401500835,5000.0,110,103,0.9754295558162674,134674
algebra2005,concept,dkt,3,isotonic,0.0024850790110504217,5000.0,110,103,0.9754295558162674,134674
algebra2005,concept,dkt,3,concept_aware_lambda0,0.003682170210582791,5000.0,110,103,0.9754295558162674,134674
algebra2005,concept,dkt,3,concept_aware_eb,0.001878602013147755,5000.0,110,103,0.9754295558162674,134674
algebra2005,concept,dkt,3,difficulty_bucket,0.002223127688159031,5000.0,110,103,0.9754295558162674,134674
algebra2005,concept,dkt,4,none,0.00584591754192883,1000.0,110,97,0.9739667641861087,134674
algebra2005,concept,dkt,4,isotonic,0.001642277179860974,1000.0,110,97,0.9739667641861087,134674
algebra2005,concept,dkt,4,concept_aware_lambda0,0.004373637315655681,1000.0,110,97,0.9739667641861087,134674
algebra2005,concept,dkt,4,concept_aware_eb,0.0022039741399758734,1000.0,110,97,0.9739667641861087,134674
algebra2005,concept,dkt,4,difficulty_bucket,0.0017004419521539828,1000.0,110,97,0.9739667641861087,134674
algebra2005,concept,sakt,0,none,0.029569697363122493,100000.0,111,103,0.9754295558162674,134674
algebra2005,concept,sakt,0,isotonic,0.006891794063311692,100000.0,111,103,0.9754295558162674,134674
algebra2005,concept,sakt,0,concept_aware_lambda0,0.008663054550240447,100000.0,111,103,0.9754295558162674,134674
algebra2005,concept,sakt,0,concept_aware_eb,0.006690006438598955,100000.0,111,103,0.9754295558162674,134674
algebra2005,concept,sakt,0,difficulty_bucket,0.006864430285377211,100000.0,111,103,0.9754295558162674,134674
algebra2005,concept,sakt,1,none,0.028000225702417055,100000.0,112,102,0.9751473929637495,134674
algebra2005,concept,sakt,1,isotonic,0.006739174146880218,100000.0,112,102,0.9751473929637495,134674
algebra2005,concept,sakt,1,concept_aware_lambda0,0.007702402211238936,100000.0,112,102,0.9751473929637495,134674
algebra2005,concept,sakt,1,concept_aware_eb,0.006638675262302566,100000.0,112,102,0.9751473929637495,134674
algebra2005,concept,sakt,1,difficulty_bucket,0.0067667853611329985,100000.0,112,102,0.9751473929637495,134674
algebra2005,concept,sakt,2,none,0.02560134505072354,100000.0,111,101,0.9750063115374905,134674
algebra2005,concept,sakt,2,isotonic,0.004430170320748087,100000.0,111,101,0.9750063115374905,134674
