dataset,granularity,family,model,fold,contrast,method_a,method_b,ece_a,ece_b,delta_ece,ci_low,ci_high,p,n_students,n_test,family_key,p_holm,reject_holm,family_size
algebra2005,concept,deep,dkt,0,iso_vs_none,isotonic,none,0.006374502552125651,0.009364981241350946,-0.0029904786892252944,-0.005242558634003231,-0.0003201728566749467,0.023797620237976203,114,134674,concept|f0|iso_vs_none,0.1665833416658334,False,28
algebra2005,concept,deep,dkt,0,best_vs_runnerup,isotonic,platt,0.006374502552125651,0.007281589272573994,-0.000907086720448343,-0.0010751960643397046,0.0009818437063652855,0.36596340365963403,114,134674,concept|f0|best_vs_runnerup,1.0,False,28
algebra2005,concept,deep,dkt,1,iso_vs_none,isotonic,none,0.005797773175308806,0.005859255565591514,-6.148239028270792e-05,-0.008468926239378395,0.007868980334197808,0.9943005699430058,114,134674,concept|f1|iso_vs_none,1.0,False,28
algebra2005,concept,deep,dkt,1,best_vs_runnerup,temperature,isotonic,0.003976440647926451,0.005797773175308806,-0.001821332527382355,-0.007768026333765363,0.006670981609328605,0.6901309869013099,114,134674,concept|f1|best_vs_runnerup,1.0,False,28
algebra2005,concept,deep,dkt,2,iso_vs_none,isotonic,none,0.003559223044171273,0.003852718495234163,-0.0002934954510628901,-0.005299578662729179,0.003434373773045621,0.9551044895510449,114,134674,concept|f2|iso_vs_none,1.0,False,28
algebra2005,concept,deep,dkt,2,best_vs_runnerup,temperature,isotonic,0.0031933132737462316,0.003559223044171273,-0.00036590977042504124,-0.002561916396668826,0.003069895339331308,0.7671232876712328,114,134674,concept|f2|best_vs_runnerup,1.0,False,28
algebra2005,concept,deep,dkt,3,iso_vs_none,isotonic,none,0.002485079011042532,0.0031618876401500835,-0.0006768086291075513,-0.0025864514227177753,0.0017692074976963946,0.7951204879512048,114,134674,concept|f3|iso_vs_none,1.0,False,28
algebra2005,concept,deep,dkt,3,best_vs_runnerup,isotonic,none,0.002485079011042532,0.0031618876401500835,-0.0006768086291075513,-0.0025864514227177753,0.0017692074976963946,0.7951204879512048,114,134674,concept|f3|best_vs_runnerup,1.0,False,28
algebra2005,concept,deep,dkt,4,iso_vs_none,isotonic,none,0.001642277179815256,0.00584591754192883,-0.004203640362113574,-0.005284196090506065,-0.0004182275147998749,0.015798420157984203,114,134674,concept|f4|iso_vs_none,0.12638736126387362,False,28
algebra2005,concept,deep,dkt,4,best_vs_runnerup,isotonic,platt,0.001642277179815256,0.002798598142315,-0.001156320962499744,-0.0022236838376785617,0.000631451486867741,0.45595440455954406,114,134674,concept|f4|best_vs_runnerup,1.0,False,28
algebra2005,concept,deep,sakt,0,iso_vs_none,isotonic,none,0.00689179406330663,0.029569697363122493,-0.022677903299815862,-0.031114804943391743,-0.012389945499582562,0.00019998000199980003,114,134674,concept|f0|iso_vs_none,0.005599440055994401,True,28
algebra2005,concept,deep,sakt,0,best_vs_runnerup,temperature,isotonic,0.004736690243393066,0.00689179406330663,-0.0021551038199135635,-0.006815976536055377,0.0062107051668427215,0.6151384861513849,114,134674,concept|f0|best_vs_runnerup,1.0,False,28
algebra2005,concept,deep,sakt,1,iso_vs_none,isotonic,none,0.006739174146852229,0.028000225702417055,-0.021261051555564826,-0.028083262217803204,-0.011568512005495421,0.00019998000199980003,114,134674,concept|f1|iso_vs_none,0.005599440055994401,True,28
algebra2005,concept,deep,sakt,1,best_vs_runnerup,temperature,isotonic,0.0036054238488256543,0.006739174146852229,-0.0031337502980265746,-0.004353690612297395,0.0015336179220180538,0.18018198180181982,114,134674,concept|f1|best_vs_runnerup,1.0,False,28
algebra2005,concept,deep,sakt,2,iso_vs_none,isotonic,none,0.004430170320740622,0.02560134505072354,-0.02117117472998292,-0.0247520466034079,-0.012274050943932123,0.00019998000199980003,114,134674,concept|f2|iso_vs_none,0.005599440055994401,True,28
algebra2005,concept,deep,sakt,2,best_vs_runnerup,temperature,platt,0.004286386486990907,0.004364980919943424,-7.859443295251626e-05,-0.0001594516503567813,6.27767942967294e-05,0.25537446255374463,114,134674,concept|f2|best_vs_runnerup,1.0,False,28
algebra2005,concept,deep,sakt,3,iso_vs_none,isotonic,none,0.004150203573837841,0.02173147501190255,-0.01758127143806471,-0.020422337721126706,-0.012422954262207967,0.00019998000199980003,114,134674,concept|f3|iso_vs_none,0.005599440055994401,True,28
algebra2005,concept,deep,sakt,3,best_vs_runnerup,platt,isotonic,0.0027674651858301726,0.004150203573837841,-0.0013827383880076682,-0.0027742257978763778,0.0010477928962262203,0.5093490650934906,114,134674,concept|f3|best_vs_runnerup,1.0,False,28
algebra2005,concept,deep,sakt,4,iso_vs_none,isotonic,none,0.0024134632663364492,0.022701903371821045,-0.020288440105484595,-0.02145199812163481,-0.013938304206839875,0.00019998000199980003,114,134674,concept|f4|iso_vs_none,0.005599440055994401,True,28
algebra2005,concept,deep,sakt,4,best_vs_runnerup,isotonic,platt,0.0024134632663364492,0.0036143692452355295,-0.0012009059788990802,-0.002801924021054312,0.0009757635069731634,0.47115288471152883,114,134674,concept|f4|best_vs_runnerup,1.0,False,28
algebra2005,concept,deep,akt,0,iso_vs_none,isotonic,none,0.007145737599466832,0.0039346539124985565,0.0032110836869682757,-0.007068190110494317,0.007811448655436227,0.5869413058694131,114,134674,concept|f0|iso_vs_none,0.9491050894910509,False,28
