dataset,granularity,fold,contrast_type,model_a,method_a,family_a,model_b,method_b,family_b,ece_a,ece_b,delta_ece,ci_low,ci_high,p,n_students,pairing,family_key,p_holm,reject_holm,family_size
algebra2005,concept,0,within_deep,akt,none,deep,sakt,temperature,deep,0.0039346539124985565,0.004736690243393066,-0.0008020363308945096,-0.0027908646344095736,0.0017324819043057118,0.6439356064393561,114,paired,concept|f0|within_deep,1.0,False,7
algebra2005,concept,1,within_deep,sakt,temperature,deep,simplekt,temperature,deep,0.0036054238488256543,0.00396058816085492,-0.00035516431202926553,-0.003559957039041438,0.001722418060728487,0.7835216478352165,114,paired,concept|f1|within_deep,1.0,False,7
algebra2005,concept,2,within_deep,dkt,temperature,deep,simplekt,isotonic,deep,0.0031933132737462316,0.004149508176719987,-0.0009561949029737557,-0.0030810277656927536,0.0032711059545856994,0.6375362463753624,114,paired,concept|f2|within_deep,1.0,False,7
algebra2005,concept,3,within_deep,akt,isotonic,deep,dkt,isotonic,deep,0.0022850928275744576,0.002485079011042532,-0.0001999861834680746,-0.0013957929291860086,0.0020458481606564637,0.8161183881611839,114,paired,concept|f3|within_deep,1.0,False,7
algebra2005,concept,4,within_deep,dkt,isotonic,deep,sakt,isotonic,deep,0.001642277179815256,0.0024134632663364492,-0.0007711860865211933,-0.002153035327854583,0.0007544097991529502,0.3137686231376862,114,paired,concept|f4|within_deep,1.0,False,7
algebra2005,question,0,within_deep,simplekt,isotonic,deep,dkt,platt,deep,0.008114021450333847,0.008312324445455863,-0.0001983029951220152,-0.0024389796692796564,0.002002544928190144,0.8913108689131087,114,paired,question|f0|within_deep,1.0,False,6
algebra2005,question,0,cross_family,simplekt,isotonic,deep,elorasch,temperature,classical,0.008114021450333847,0.0112363835379638,-0.003122362087629952,-0.01435431310021252,0.007381128719365075,0.46815318468153183,114,unpaired_shared_students,question|f0|cross_family,1.0,False,6
algebra2005,question,1,within_deep,dkt,temperature,deep,akt,isotonic,deep,0.006895630243694675,0.010154991167907343,-0.0032593609242126675,-0.004506259844991959,0.0012225108938219132,0.11358864113588642,114,paired,question|f1|within_deep,0.6815318468153185,False,6
algebra2005,question,1,cross_family,dkt,temperature,deep,bkt,temperature,classical,0.006895630243694675,0.012128590041425767,-0.005232959797731092,-0.012374719527835646,-0.0005910635099494748,0.031996800319968,114,unpaired_shared_students,question|f1|cross_family,0.19198080191980801,False,6
algebra2005,question,2,within_deep,dkt,platt,deep,simplekt,isotonic,deep,0.004320255758246756,0.004745092357259205,-0.0004248365990124495,-0.003322624508236032,0.002441390297404582,0.8691130886911309,114,paired,question|f2|within_deep,1.0,False,6
algebra2005,question,2,cross_family,pfa,isotonic,classical,dkt,platt,deep,0.003996781999085031,0.004320255758246756,-0.00032347375916172427,-0.0022539479253942942,0.007325238761891464,0.4881511848815118,114,unpaired_shared_students,question|f2|cross_family,1.0,False,6
algebra2005,question,3,within_deep,simplekt,isotonic,deep,akt,isotonic,deep,0.0029702847470003415,0.003602366896473805,-0.0006320821494734635,-0.0028433371322527435,0.0026346954471181626,0.958904109589041,114,paired,question|f3|within_deep,1.0,False,6
algebra2005,question,3,cross_family,simplekt,isotonic,deep,pfa,isotonic,classical,0.0029702847470003415,0.00524731946135073,-0.002277034714350388,-0.010351964609892303,0.0019185623304287806,0.30456954304569545,114,unpaired_shared_students,question|f3|cross_family,1.0,False,6
algebra2005,question,4,within_deep,dkt,isotonic,deep,akt,isotonic,deep,0.003709444454636354,0.0038247446275455413,-0.00011530017290918744,-0.002823247675680475,0.0019730381335681182,0.8465153484651535,114,paired,question|f4|within_deep,1.0,False,6
algebra2005,question,4,cross_family,dkt,isotonic,deep,pfa_recency,isotonic,classical,0.003709444454636354,0.005632288918054403,-0.0019228444634180495,-0.007642325318421202,0.000670326761636259,0.11898810118988101,114,unpaired_shared_students,question|f4|cross_family,0.5949405059494051,False,6
assist2009,concept,0,within_deep,akt,temperature,deep,dkt,none,deep,0.0049820333429126925,0.007414167955992682,-0.0024321346130799894,-0.005404313471522871,0.0025624109303210305,0.49475052494750527,770,paired,concept|f0|within_deep,1.0,False,7
assist2009,concept,1,within_deep,akt,temperature,deep,dkt,temperature,deep,0.003514278877891785,0.0064233160343548906,-0.0029090371564631057,-0.006087110472293694,0.0022556820052867833,0.38036196380361964,770,paired,concept|f1|within_deep,1.0,False,7
assist2009,concept,2,within_deep,akt,temperature,deep,dkt,none,deep,0.006410879677479532,0.010021374641505458,-0.0036104949640259256,-0.006684268815387167,0.001264923315155046,0.18498150184981502,770,paired,concept|f2|within_deep,1.0,False,7
assist2009,concept,3,within_deep,akt,temperature,deep,dkt,temperature,deep,0.005098444517861489,0.0068087943636340985,-0.0017103498457726098,-0.005389657909699765,0.0013319770126501856,0.2405759424057594,770,paired,concept|f3|within_deep,1.0,False,7
