dataset,model,arm,bin,mean_predicted,observed_frequency,n_rows
assist2012,akt,none,0,0.07117297368421056,0.07763157894736843,3800
assist2012,akt,none,1,0.15602888042650453,0.17707539984767706,13130
assist2012,akt,none,2,0.25330078999953465,0.2823086574654956,21519
assist2012,akt,none,3,0.3521940343642649,0.3766323024054983,29100
assist2012,akt,none,4,0.45206896617101644,0.46672625335175105,36921
assist2012,akt,none,5,0.5519942909106125,0.5558993226858433,47836
assist2012,akt,none,6,0.6525335834395168,0.6436852122756516,63573
assist2012,akt,none,7,0.7527739680040716,0.737688977380594,86386
assist2012,akt,none,8,0.8527835236437429,0.8339508440199945,125234
assist2012,akt,none,9,0.939185278299631,0.9258297417762552,108588
assist2012,akt,isotonic,0,0.07344713117673592,0.06846970215679561,2921
assist2012,akt,isotonic,1,0.1537269519595194,0.15031042370112188,9181
assist2012,akt,isotonic,2,0.2501606930306788,0.2493519386685787,18131
assist2012,akt,isotonic,3,0.3528475251855073,0.350519959745052,29810
assist2012,akt,isotonic,4,0.44937476718634656,0.45094969199178647,38960
assist2012,akt,isotonic,5,0.5510193086937684,0.5499778986412469,52033
assist2012,akt,isotonic,6,0.6499887984767867,0.6495085288722175,73046
assist2012,akt,isotonic,7,0.7508378295836761,0.7487683169988079,94789
assist2012,akt,isotonic,8,0.8494939176509398,0.8511865191702955,133879
assist2012,akt,isotonic,9,0.9323724010828964,0.9358148241477375,83337
assist2009,dkt,none,0,0.06352818181818176,0.06818181818181818,660
assist2009,dkt,none,1,0.15198577212261424,0.15789473684210525,1729
assist2009,dkt,none,2,0.2538529603919975,0.263781135157207,2449
assist2009,dkt,none,3,0.35298484210526365,0.36661654135338345,3325
assist2009,dkt,none,4,0.45243937942048856,0.45014830025096964,4383
assist2009,dkt,none,5,0.5524449351978186,0.5513301500682128,5864
assist2009,dkt,none,6,0.6532297713598085,0.655956678700361,8310
assist2009,dkt,none,7,0.7512370934579399,0.741214953271028,10700
assist2009,dkt,none,8,0.847219309247473,0.8316173717708724,10684
assist2009,dkt,none,9,0.9309990361445819,0.9086746987951807,4150
assist2009,dkt,isotonic,0,0.07109926844925103,0.05860113421550094,529
assist2009,dkt,isotonic,1,0.15266263687891163,0.13825896122896855,1367
assist2009,dkt,isotonic,2,0.2599479987127631,0.23995771670190275,1892
assist2009,dkt,isotonic,3,0.33934799858399106,0.30158730158730157,1953
assist2009,dkt,isotonic,4,0.4617100637861781,0.42877056035684413,7174
assist2009,dkt,isotonic,5,0.5628587450155317,0.5536113179448995,5372
assist2009,dkt,isotonic,6,0.6607473048332374,0.6557338643551599,8537
assist2009,dkt,isotonic,7,0.7541265205561958,0.7474016016357131,11738
assist2009,dkt,isotonic,8,0.8485789961965692,0.8444581064465133,11386
assist2009,dkt,isotonic,9,0.9370544481470285,0.9228100607111882,2306
ednet,simplekt,none,0,0.07610504983388694,0.3196013289036545,1505
ednet,simplekt,none,1,0.15759468154957332,0.5000656598818122,7615
ednet,simplekt,none,2,0.2509940964090558,0.5360070257611241,10248
ednet,simplekt,none,3,0.34907250153280106,0.5181892499489066,9786
ednet,simplekt,none,4,0.4494288383514845,0.5226350629938074,9366
ednet,simplekt,none,5,0.550543783729763,0.584449330401759,10006
ednet,simplekt,none,6,0.6511399240951574,0.6367675645653985,10803
ednet,simplekt,none,7,0.7516339718402073,0.6586444007858546,12216
ednet,simplekt,none,8,0.8557587523446465,0.6783445271374116,16527
ednet,simplekt,none,9,0.9588621338106507,0.8068060810657725,44137
ednet,simplekt,isotonic,2,0.26826323873166363,0.2875912408759124,685
ednet,simplekt,isotonic,3,0.3480224477539196,0.37841439040639574,1501
ednet,simplekt,isotonic,4,0.4632273960177031,0.4880675818373812,4735
ednet,simplekt,isotonic,5,0.5370105233514156,0.5386980018840796,40338
ednet,simplekt,isotonic,6,0.6503882966524179,0.6621543579200259,43289
ednet,simplekt,isotonic,7,0.7495434846665897,0.7486742537091104,16783
ednet,simplekt,isotonic,8,0.851594122291253,0.8452748761708597,20391
ednet,simplekt,isotonic,9,0.9285502101112932,0.9072877200802317,4487
