dataset,granularity,family,model,fold,method,axis,q_low,q_high,ece_low,ece_high,ece_overall,ratio_low_over_high,ratio_low_over_overall,delta_ece,ci_low,ci_high,p,equalized_ce,n_students_low,n_students_high,n_eval_rows,selected_on_outcome,family_key,p_holm,reject_holm,family_size
algebra2005,concept,deep,dkt,0,none,ability_prefix5,0,1,0.006800332238326233,0.012903789056654074,0.00932832319274097,0.5270027438041168,0.7289983524175121,-0.006103456818327841,-0.014664669752727032,0.0010705917142840738,0.10978902109789021,0.003575465863913104,52,62,134104,False,concept|ability_prefix5|none|f0,1.0,False,28
algebra2005,concept,deep,dkt,0,platt,ability_prefix5,0,1,0.0038876996482275004,0.011150263935149682,0.007164670274614685,0.3486643608472853,0.542620874264389,-0.007262564286922181,-0.01608503852324573,0.0026550707891723827,0.19138086191380863,0.003985593660534997,52,62,134104,False,concept|ability_prefix5|platt|f0,1.0,False,28
algebra2005,concept,deep,dkt,0,isotonic,ability_prefix5,0,1,0.004946874975179647,0.010343965922198765,0.006262180293141981,0.4782377486920523,0.7899604839862581,-0.005397090947019119,-0.01543154051704693,0.0037039241626762674,0.31616838316168383,0.004081785629056784,52,62,134104,False,concept|ability_prefix5|isotonic|f0,1.0,False,28
algebra2005,concept,deep,dkt,0,temperature,ability_prefix5,0,1,0.007138127915494648,0.014168102435154832,0.010416535543045165,0.5038167918509011,0.6852689059617888,-0.007029974519660184,-0.017916886694728563,0.0037553127795047574,0.22097790220977903,0.003751566892109667,52,62,134104,False,concept|ability_prefix5|temperature|f0,1.0,False,28
algebra2005,concept,deep,dkt,0,none,ability_prefix10,0,1,0.006555418386289648,0.01365800950479603,0.009302690861181863,0.47996879662352726,0.7046798054575807,-0.007102591118506382,-0.014440203087539271,0.0006195021657189768,0.07479252074792521,0.0043553186436141676,51,63,133534,False,concept|ability_prefix10|none|f0,1.0,False,28
algebra2005,concept,deep,dkt,0,platt,ability_prefix10,0,1,0.0028850922027488235,0.012427250251719051,0.00701198192078301,0.2321585342139329,0.41145174578924937,-0.009542158048970227,-0.016414683303199867,0.0014459838792976452,0.11698830116988301,0.005415268330936041,51,63,133534,False,concept|ability_prefix10|platt|f0,1.0,False,28
algebra2005,concept,deep,dkt,0,isotonic,ability_prefix10,0,1,0.004330662657080046,0.011873784595439927,0.0061061384491119695,0.3647247111711305,0.7092309965080901,-0.007543121938359881,-0.01591988185786513,0.002529006076357955,0.20777922207779223,0.005767646146327957,51,63,133534,False,concept|ability_prefix10|isotonic|f0,1.0,False,28
algebra2005,concept,deep,dkt,0,temperature,ability_prefix10,0,1,0.004853771603608601,0.015386653206908215,0.01027502228528588,0.31545336977045674,0.4723855062153333,-0.010532881603299613,-0.018952928101333394,0.0011060983962520915,0.08159184081591841,0.005421250681677279,51,63,133534,False,concept|ability_prefix10|temperature|f0,1.0,False,28
algebra2005,concept,deep,dkt,0,none,ability_all_rows,0,1,0.008186056720813443,0.022834122314244053,0.009302690861181863,0.35850104541600597,0.8799665433334031,-0.01464806559343061,-0.01840964308458665,-0.006781464756863843,0.00039996000399960006,0.01353143145306219,57,57,133534,True,concept|ability_all_rows|none|f0,0.005999400059994001,True,28
algebra2005,concept,deep,dkt,0,platt,ability_all_rows,0,1,0.007127209574454056,0.02383644051837069,0.00701198192078301,0.29900477669730646,1.0164329650265524,-0.016709230943916634,-0.02200083703796638,-0.007693931199903662,0.00039996000399960006,0.01682445859758768,57,57,133534,True,concept|ability_all_rows|platt|f0,0.007199280071992801,True,28
