dataset,granularity,family,model,fold,method,axis,quartile,ece,n_rows,n_students,ece_overall,selected_on_outcome
algebra2005,concept,deep,dkt,0,none,ability_prefix5,0,0.006800332238326233,71565,52,0.00932832319274097,False
algebra2005,concept,deep,dkt,0,none,ability_prefix5,1,0.012903789056654074,62539,62,0.00932832319274097,False
algebra2005,concept,deep,dkt,0,platt,ability_prefix5,0,0.0038876996482275004,71565,52,0.007164670274614685,False
algebra2005,concept,deep,dkt,0,platt,ability_prefix5,1,0.011150263935149682,62539,62,0.007164670274614685,False
algebra2005,concept,deep,dkt,0,isotonic,ability_prefix5,0,0.004946874975179647,71565,52,0.006262180293141981,False
algebra2005,concept,deep,dkt,0,isotonic,ability_prefix5,1,0.010343965922198765,62539,62,0.006262180293141981,False
algebra2005,concept,deep,dkt,0,temperature,ability_prefix5,0,0.007138127915494648,71565,52,0.010416535543045165,False
algebra2005,concept,deep,dkt,0,temperature,ability_prefix5,1,0.014168102435154832,62539,62,0.010416535543045165,False
algebra2005,concept,deep,dkt,0,none,ability_prefix10,0,0.006555418386289648,64555,51,0.009302690861181863,False
algebra2005,concept,deep,dkt,0,none,ability_prefix10,1,0.01365800950479603,68979,63,0.009302690861181863,False
algebra2005,concept,deep,dkt,0,platt,ability_prefix10,0,0.0028850922027488235,64555,51,0.00701198192078301,False
algebra2005,concept,deep,dkt,0,platt,ability_prefix10,1,0.012427250251719051,68979,63,0.00701198192078301,False
algebra2005,concept,deep,dkt,0,isotonic,ability_prefix10,0,0.004330662657080046,64555,51,0.0061061384491119695,False
algebra2005,concept,deep,dkt,0,isotonic,ability_prefix10,1,0.011873784595439927,68979,63,0.0061061384491119695,False
algebra2005,concept,deep,dkt,0,temperature,ability_prefix10,0,0.004853771603608601,64555,51,0.01027502228528588,False
algebra2005,concept,deep,dkt,0,temperature,ability_prefix10,1,0.015386653206908215,68979,63,0.01027502228528588,False
algebra2005,concept,deep,dkt,0,none,ability_all_rows,0,0.008186056720813443,76950,57,0.009302690861181863,True
algebra2005,concept,deep,dkt,0,none,ability_all_rows,1,0.022834122314244053,56584,57,0.009302690861181863,True
algebra2005,concept,deep,dkt,0,platt,ability_all_rows,0,0.007127209574454056,76950,57,0.00701198192078301,True
algebra2005,concept,deep,dkt,0,platt,ability_all_rows,1,0.02383644051837069,56584,57,0.00701198192078301,True
algebra2005,concept,deep,dkt,0,isotonic,ability_all_rows,0,0.007165965358790106,76950,57,0.0061061384491119695,True
algebra2005,concept,deep,dkt,0,isotonic,ability_all_rows,1,0.02390814651120492,56584,57,0.0061061384491119695,True
algebra2005,concept,deep,dkt,0,temperature,ability_all_rows,0,0.004009529543046186,76950,57,0.01027502228528588,True
algebra2005,concept,deep,dkt,0,temperature,ability_all_rows,1,0.026446251286194173,56584,57,0.01027502228528588,True
algebra2005,concept,deep,dkt,0,none,ability_prefix20,0,0.0044194022541517814,59776,52,0.009256664928085067,False
algebra2005,concept,deep,dkt,0,none,ability_prefix20,1,0.013780463688157059,72619,61,0.009256664928085067,False
algebra2005,concept,deep,dkt,0,platt,ability_prefix20,0,0.00424861956983841,59776,52,0.006999170991704736,False
algebra2005,concept,deep,dkt,0,platt,ability_prefix20,1,0.010931716666175092,72619,61,0.006999170991704736,False
