dataset,model,fold,n_test,method,ece,auc,brier
assist2009,pfa,0,53148,none,0.027988,0.708386,0.203021
assist2009,pfa,0,53148,platt,0.038113,0.708386,0.204236
assist2009,pfa,0,53148,isotonic,0.015263,0.708463,0.201748
assist2009,pfa,0,53148,temperature,0.033795,0.708386,0.203242
assist2009,pfa,1,53148,none,0.026092,0.708636,0.20313
assist2009,pfa,1,53148,platt,0.032684,0.708636,0.203922
assist2009,pfa,1,53148,isotonic,0.014317,0.708901,0.201792
assist2009,pfa,1,53148,temperature,0.032047,0.708636,0.203168
assist2009,pfa,2,53148,none,0.02547,0.710083,0.202855
assist2009,pfa,2,53148,platt,0.044131,0.710083,0.20541
assist2009,pfa,2,53148,isotonic,0.020853,0.710249,0.201712
assist2009,pfa,2,53148,temperature,0.040534,0.710083,0.203377
assist2009,pfa,3,53148,none,0.026009,0.708686,0.203058
assist2009,pfa,3,53148,platt,0.03815,0.708686,0.204776
assist2009,pfa,3,53148,isotonic,0.020404,0.70899,0.201908
assist2009,pfa,3,53148,temperature,0.035597,0.708686,0.203292
assist2009,pfa,4,53148,none,0.026111,0.709001,0.203348
assist2009,pfa,4,53148,platt,0.037188,0.709001,0.203949
assist2009,pfa,4,53148,isotonic,0.011383,0.709354,0.201692
assist2009,pfa,4,53148,temperature,0.037478,0.709001,0.203429
assist2009,elorasch,0,53148,none,0.064632,0.710732,0.205716
assist2009,elorasch,0,53148,platt,0.009613,0.710732,0.200688
assist2009,elorasch,0,53148,isotonic,0.007595,0.710361,0.200825
assist2009,elorasch,0,53148,temperature,0.025726,0.710732,0.201989
assist2009,elorasch,1,53148,none,0.061891,0.710121,0.205613
assist2009,elorasch,1,53148,platt,0.007202,0.710121,0.200741
assist2009,elorasch,1,53148,isotonic,0.005794,0.709901,0.200945
assist2009,elorasch,1,53148,temperature,0.025622,0.710121,0.201904
assist2009,elorasch,2,53148,none,0.062394,0.711059,0.205615
assist2009,elorasch,2,53148,platt,0.006294,0.711059,0.200562
assist2009,elorasch,2,53148,isotonic,0.008985,0.710706,0.200967
assist2009,elorasch,2,53148,temperature,0.026117,0.711059,0.201737
assist2009,elorasch,3,53148,none,0.063419,0.710812,0.205716
assist2009,elorasch,3,53148,platt,0.010567,0.710812,0.200823
assist2009,elorasch,3,53148,isotonic,0.008999,0.710555,0.200761
assist2009,elorasch,3,53148,temperature,0.026668,0.710812,0.201915
assist2009,elorasch,4,53148,none,0.06251,0.710534,0.205724
assist2009,elorasch,4,53148,platt,0.007226,0.710534,0.200726
assist2009,elorasch,4,53148,isotonic,0.012805,0.710152,0.201185
assist2009,elorasch,4,53148,temperature,0.026611,0.710534,0.201948
