dataset,model,method,n_folds,folds,ece_mean,ece_std,auc_mean,auc_std,brier_mean,brier_std,n_test
algebra2005,akt,isotonic,5,"0,1,2,3,4",0.004753,0.002294,0.916406,0.001045,0.097321,0.000597,134674
algebra2005,akt,none,5,"0,1,2,3,4",0.006761,0.003964,0.916459,0.001063,0.097329,0.000593,134674
algebra2005,akt,platt,5,"0,1,2,3,4",0.005717,0.001905,0.916459,0.001063,0.097312,0.00061,134674
algebra2005,akt,temperature,5,"0,1,2,3,4",0.00489,0.000823,0.916459,0.001063,0.097305,0.000607,134674
algebra2005,dkt,isotonic,5,"0,1,2,3,4",0.003972,0.002056,0.919541,0.000517,0.093943,0.000283,134674
algebra2005,dkt,none,5,"0,1,2,3,4",0.005617,0.002413,0.919609,0.000547,0.093941,0.000302,134674
algebra2005,dkt,platt,5,"0,1,2,3,4",0.005366,0.002197,0.919609,0.000547,0.093932,0.000349,134674
algebra2005,dkt,temperature,5,"0,1,2,3,4",0.00492,0.003155,0.919609,0.000547,0.093928,0.000305,134674
algebra2005,sakt,isotonic,5,"0,1,2,3,4",0.004925,0.001892,0.90597,0.000737,0.101156,0.000512,134674
algebra2005,sakt,none,5,"0,1,2,3,4",0.025521,0.003349,0.906042,0.000739,0.102134,0.000694,134674
algebra2005,sakt,platt,5,"0,1,2,3,4",0.005082,0.002134,0.906042,0.000739,0.101117,0.00052,134674
algebra2005,sakt,temperature,5,"0,1,2,3,4",0.006528,0.003526,0.906042,0.000739,0.101179,0.000512,134674
algebra2005,simplekt,isotonic,5,"0,1,2,3,4",0.005057,0.001833,0.921577,0.001407,0.093657,0.001049,134674
algebra2005,simplekt,none,5,"0,1,2,3,4",0.022923,0.007056,0.92164,0.001408,0.094576,0.000582,134674
algebra2005,simplekt,platt,5,"0,1,2,3,4",0.007757,0.002391,0.92164,0.001408,0.09373,0.001022,134674
algebra2005,simplekt,temperature,5,"0,1,2,3,4",0.010754,0.007387,0.92164,0.001408,0.094006,0.001164,134674
assist2009,akt,isotonic,5,"0,1,2,3,4",0.009318,0.00224,0.829989,0.001118,0.155231,0.000445,61904
assist2009,akt,none,5,"0,1,2,3,4",0.010003,0.005325,0.830247,0.001042,0.155157,0.000436,61904
assist2009,akt,platt,5,"0,1,2,3,4",0.00955,0.002316,0.830247,0.001042,0.15514,0.000424,61904
assist2009,akt,temperature,5,"0,1,2,3,4",0.006387,0.003264,0.830247,0.001042,0.155082,0.000421,61904
assist2009,dkt,isotonic,5,"0,1,2,3,4",0.010276,0.002266,0.823935,0.001007,0.157174,0.000502,61904
assist2009,dkt,none,5,"0,1,2,3,4",0.00916,0.002269,0.824118,0.000985,0.157058,0.000385,61904
assist2009,dkt,platt,5,"0,1,2,3,4",0.010421,0.0013,0.824118,0.000985,0.157078,0.00045,61904
assist2009,dkt,temperature,5,"0,1,2,3,4",0.008338,0.002205,0.824118,0.000985,0.157033,0.000394,61904
