dataset,model,fold,method,ece,auc,brier,n_test
algebra2005,akt,0,none,0.003935,0.915822,0.09764,134674
algebra2005,akt,0,platt,0.007302,0.915822,0.097739,134674
algebra2005,akt,0,isotonic,0.007146,0.915772,0.097732,134674
algebra2005,akt,0,temperature,0.004798,0.915822,0.097667,134674
algebra2005,akt,1,none,0.004156,0.916193,0.097261,134674
algebra2005,akt,1,platt,0.008062,0.916193,0.097386,134674
algebra2005,akt,1,isotonic,0.007086,0.916162,0.097394,134674
algebra2005,akt,1,temperature,0.00471,0.916193,0.097282,134674
algebra2005,akt,2,none,0.007056,0.915294,0.098049,134674
algebra2005,akt,2,platt,0.005327,0.915294,0.097986,134674
algebra2005,akt,2,isotonic,0.004412,0.915259,0.097982,134674
algebra2005,akt,2,temperature,0.005904,0.915294,0.098042,134674
algebra2005,akt,3,none,0.013501,0.916966,0.097248,134674
algebra2005,akt,3,platt,0.003731,0.916966,0.097,134674
algebra2005,akt,3,isotonic,0.002285,0.9169,0.097028,134674
algebra2005,akt,3,temperature,0.005345,0.916966,0.097097,134674
algebra2005,akt,4,none,0.005157,0.918018,0.096447,134674
algebra2005,akt,4,platt,0.004166,0.918018,0.096447,134674
algebra2005,akt,4,isotonic,0.002835,0.917938,0.096468,134674
algebra2005,akt,4,temperature,0.003693,0.918018,0.096436,134674
algebra2005,dkt,0,none,0.009365,0.919669,0.094114,134674
algebra2005,dkt,0,platt,0.007282,0.919669,0.093941,134674
algebra2005,dkt,0,isotonic,0.006375,0.919623,0.093939,134674
algebra2005,dkt,0,temperature,0.010541,0.919669,0.094108,134674
algebra2005,dkt,1,none,0.005859,0.919094,0.094264,134674
algebra2005,dkt,1,platt,0.007556,0.919094,0.094394,134674
algebra2005,dkt,1,isotonic,0.005798,0.91909,0.094312,134674
algebra2005,dkt,1,temperature,0.003976,0.919094,0.094238,134674
algebra2005,dkt,2,none,0.003853,0.919209,0.094007,134674
algebra2005,dkt,2,platt,0.005833,0.919209,0.094052,134674
algebra2005,dkt,2,isotonic,0.003559,0.919151,0.094035,134674
algebra2005,dkt,2,temperature,0.003193,0.919209,0.094001,134674
algebra2005,dkt,3,none,0.003162,0.91959,0.093846,134674
algebra2005,dkt,3,platt,0.003359,0.91959,0.093844,134674
algebra2005,dkt,3,isotonic,0.002485,0.919465,0.093901,134674
algebra2005,dkt,3,temperature,0.003416,0.91959,0.093849,134674
algebra2005,dkt,4,none,0.005846,0.920485,0.093475,134674
algebra2005,dkt,4,platt,0.002799,0.920485,0.093431,134674
algebra2005,dkt,4,isotonic,0.001642,0.920377,0.093526,134674
algebra2005,dkt,4,temperature,0.003475,0.920485,0.093445,134674
algebra2005,sakt,0,none,0.02957,0.905153,0.103028,134674
algebra2005,sakt,0,platt,0.007138,0.905153,0.101736,134674
algebra2005,sakt,0,isotonic,0.006892,0.905101,0.101736,134674
algebra2005,sakt,0,temperature,0.004737,0.905153,0.101687,134674
algebra2005,sakt,1,none,0.028,0.905827,0.102397,134674
algebra2005,sakt,1,platt,0.007524,0.905827,0.101276,134674
algebra2005,sakt,1,isotonic,0.006739,0.905753,0.101323,134674
algebra2005,sakt,1,temperature,0.003605,0.905827,0.101178,134674
algebra2005,sakt,2,none,0.025601,0.906001,0.101955,134674
algebra2005,sakt,2,platt,0.004365,0.906001,0.100996,134674
algebra2005,sakt,2,isotonic,0.00443,0.905952,0.101055,134674
algebra2005,sakt,2,temperature,0.004286,0.906001,0.100995,134674
algebra2005,sakt,3,none,0.021731,0.906025,0.102169,134674
algebra2005,sakt,3,platt,0.002767,0.906025,0.101259,134674
algebra2005,sakt,3,isotonic,0.00415,0.905905,0.101315,134674
algebra2005,sakt,3,temperature,0.012099,0.906025,0.101612,134674
algebra2005,sakt,4,none,0.022702,0.907201,0.101121,134674
algebra2005,sakt,4,platt,0.003614,0.907201,0.100318,134674
algebra2005,sakt,4,isotonic,0.002413,0.907139,0.10035,134674
