dataset,model,method,n_folds,folds,ece_mean,ece_std,auc_mean,auc_std,brier_mean,brier_std,n_test
algebra2005,akt,isotonic,5,"0,1,2,3,4",0.0674,0.0015,0.7609,0.0011,0.1634,0.0008,92945
algebra2005,akt,none,5,"0,1,2,3,4",0.0315,0.0029,0.7611,0.0011,0.1544,0.0004,92945
algebra2005,akt,platt,5,"0,1,2,3,4",0.0667,0.0023,0.7611,0.0011,0.1614,0.0008,92945
algebra2005,akt,temperature,5,"0,1,2,3,4",0.0616,0.0012,0.7611,0.0011,0.1575,0.0002,92945
algebra2005,dkt,isotonic,5,"0,1,2,3,4",0.0433,0.0027,0.8089,0.0014,0.1424,0.0004,92945
algebra2005,dkt,none,5,"0,1,2,3,4",0.0111,0.0018,0.809,0.0014,0.1372,0.0004,92945
algebra2005,dkt,platt,5,"0,1,2,3,4",0.0452,0.001,0.809,0.0014,0.1409,0.0006,92945
algebra2005,dkt,temperature,5,"0,1,2,3,4",0.0327,0.0016,0.809,0.0014,0.1384,0.0004,92945
algebra2005,sakt,isotonic,5,"0,1,2,3,4",0.0644,0.0034,0.7845,0.0011,0.155,0.0008,92945
algebra2005,sakt,none,5,"0,1,2,3,4",0.0546,0.0033,0.7846,0.0012,0.1488,0.0007,92945
algebra2005,sakt,platt,5,"0,1,2,3,4",0.0566,0.0024,0.7846,0.0012,0.1513,0.0009,92945
algebra2005,sakt,temperature,5,"0,1,2,3,4",0.0497,0.0027,0.7846,0.0012,0.1482,0.001,92945
algebra2005,simplekt,isotonic,5,"0,1,2,3,4",0.0709,0.0039,0.8142,0.0017,0.1474,0.0021,92945
algebra2005,simplekt,none,5,"0,1,2,3,4",0.0556,0.0105,0.8144,0.0015,0.1418,0.0005,92945
algebra2005,simplekt,platt,5,"0,1,2,3,4",0.059,0.0037,0.8144,0.0015,0.1433,0.002,92945
algebra2005,simplekt,temperature,5,"0,1,2,3,4",0.0556,0.0047,0.8144,0.0015,0.1417,0.0023,92945
assist2009,akt,isotonic,5,"0,1,2,3,4",0.0333,0.0024,0.7335,0.0004,0.1938,0.0003,52254
assist2009,akt,none,5,"0,1,2,3,4",0.0193,0.0007,0.7338,0.0004,0.1929,0.0001,52254
assist2009,akt,platt,5,"0,1,2,3,4",0.0303,0.0032,0.7338,0.0004,0.1936,0.0003,52254
assist2009,akt,temperature,5,"0,1,2,3,4",0.0297,0.0037,0.7338,0.0004,0.1935,0.0003,52254
assist2009,dkt,isotonic,5,"0,1,2,3,4",0.0385,0.0034,0.7504,0.0011,0.189,0.0006,52254
assist2009,dkt,none,5,"0,1,2,3,4",0.0127,0.0046,0.7506,0.0011,0.1872,0.0005,52254
assist2009,dkt,platt,5,"0,1,2,3,4",0.0342,0.0033,0.7506,0.0011,0.1884,0.0005,52254
assist2009,dkt,temperature,5,"0,1,2,3,4",0.0324,0.0029,0.7506,0.0011,0.1883,0.0006,52254
assist2009,sakt,isotonic,5,"0,1,2,3,4",0.0171,0.0031,0.7289,0.0012,0.1937,0.0006,52254
assist2009,sakt,none,5,"0,1,2,3,4",0.0432,0.0039,0.7293,0.0014,0.1953,0.0003,52254
assist2009,sakt,platt,5,"0,1,2,3,4",0.0146,0.0017,0.7293,0.0014,0.1934,0.0005,52254
assist2009,sakt,temperature,5,"0,1,2,3,4",0.0155,0.002,0.7293,0.0014,0.1934,0.0005,52254
assist2009,simplekt,isotonic,5,"0,1,2,3,4",0.0497,0.0048,0.7631,0.0036,0.1876,0.002,52254
assist2009,simplekt,none,5,"0,1,2,3,4",0.0802,0.0411,0.7634,0.0035,0.1935,0.0077,52254
assist2009,simplekt,platt,5,"0,1,2,3,4",0.0326,0.0078,0.7634,0.0035,0.1857,0.0019,52254
assist2009,simplekt,temperature,5,"0,1,2,3,4",0.0387,0.0086,0.7634,0.0035,0.1863,0.0023,52254
assist2012,akt,isotonic,5,"0,1,2,3,4",0.0022,0.0005,0.7333,0.0002,0.1801,0.0001,536087
assist2012,akt,none,5,"0,1,2,3,4",0.006,0.0017,0.7334,0.0002,0.1801,0.0001,536087
assist2012,akt,platt,5,"0,1,2,3,4",0.0036,0.0005,0.7334,0.0002,0.1801,0.0001,536087
assist2012,akt,temperature,5,"0,1,2,3,4",0.006,0.0015,0.7334,0.0002,0.1801,0.0001,536087
assist2012,dkt,isotonic,5,"0,1,2,3,4",0.002,0.0005,0.7297,0.0008,0.1803,0.0002,536087
assist2012,dkt,none,5,"0,1,2,3,4",0.0097,0.0045,0.7298,0.0008,0.1804,0.0001,536087
