dataset,model,method,n_folds,folds,ece_mean,ece_std,auc_mean,auc_std,brier_mean,brier_std,n_test
algebra2005,akt,isotonic,5,"0,1,2,3,4",0.0066,0.003037,0.809107,0.00282,0.139081,0.000892,92945
algebra2005,akt,none,5,"0,1,2,3,4",0.027198,0.004971,0.809289,0.002874,0.140665,0.000856,92945
algebra2005,akt,platt,5,"0,1,2,3,4",0.017135,0.001207,0.809289,0.002874,0.139589,0.000922,92945
algebra2005,akt,temperature,5,"0,1,2,3,4",0.017851,0.001463,0.809289,0.002874,0.139858,0.000967,92945
algebra2005,dkt,isotonic,5,"0,1,2,3,4",0.00607,0.002343,0.809247,0.001269,0.136972,0.000477,92945
algebra2005,dkt,none,5,"0,1,2,3,4",0.011583,0.003993,0.809405,0.001286,0.137169,0.000432,92945
algebra2005,dkt,platt,5,"0,1,2,3,4",0.006017,0.002029,0.809405,0.001286,0.136898,0.000461,92945
algebra2005,dkt,temperature,5,"0,1,2,3,4",0.011989,0.00617,0.809405,0.001286,0.137151,0.000446,92945
algebra2005,sakt,isotonic,5,"0,1,2,3,4",0.007455,0.002337,0.784619,0.000907,0.144575,0.000247,92945
algebra2005,sakt,none,5,"0,1,2,3,4",0.05451,0.003628,0.784744,0.000942,0.148949,0.000407,92945
algebra2005,sakt,platt,5,"0,1,2,3,4",0.01241,0.001364,0.784744,0.000942,0.1447,0.000218,92945
algebra2005,sakt,temperature,5,"0,1,2,3,4",0.025174,0.006387,0.784744,0.000942,0.145848,0.00067,92945
algebra2005,simplekt,isotonic,5,"0,1,2,3,4",0.006551,0.003247,0.814295,0.00152,0.136918,0.00082,92945
algebra2005,simplekt,none,5,"0,1,2,3,4",0.055565,0.010472,0.814446,0.001549,0.141807,0.000528,92945
algebra2005,simplekt,platt,5,"0,1,2,3,4",0.013747,0.006085,0.814446,0.001549,0.137214,0.001108,92945
algebra2005,simplekt,temperature,5,"0,1,2,3,4",0.024554,0.014306,0.814446,0.001549,0.138377,0.001853,92945
assist2009,akt,isotonic,5,"0,1,2,3,4",0.011848,0.00254,0.759279,0.00142,0.18459,0.000441,52254
assist2009,akt,none,5,"0,1,2,3,4",0.021062,0.004652,0.759622,0.00137,0.184825,0.000451,52254
assist2009,akt,platt,5,"0,1,2,3,4",0.013291,0.001553,0.759622,0.00137,0.184589,0.000416,52254
assist2009,akt,temperature,5,"0,1,2,3,4",0.007504,0.002078,0.759622,0.00137,0.184391,0.000437,52254
assist2009,dkt,isotonic,5,"0,1,2,3,4",0.012349,0.003262,0.750406,0.001733,0.187286,0.00072,52254
assist2009,dkt,none,5,"0,1,2,3,4",0.012017,0.003521,0.750697,0.001759,0.187149,0.000546,52254
assist2009,dkt,platt,5,"0,1,2,3,4",0.0125,0.002507,0.750697,0.001759,0.187166,0.000722,52254
assist2009,dkt,temperature,5,"0,1,2,3,4",0.006583,0.001916,0.750697,0.001759,0.187013,0.000654,52254
assist2009,sakt,isotonic,5,"0,1,2,3,4",0.013075,0.001894,0.729255,0.001255,0.193482,0.00041,52254
assist2009,sakt,none,5,"0,1,2,3,4",0.043662,0.004404,0.729512,0.001208,0.195289,0.000385,52254
