dataset,model,method,ece_v2_leakfit,ece_v4_leakfree,delta_v4_minus_v2,ratio_v2_over_v4
algebra2005,akt,isotonic,0.0674,0.0066,-0.0608,10.21
algebra2005,akt,none,0.0315,0.027198,-0.004302,1.16
algebra2005,akt,platt,0.0667,0.017135,-0.049565,3.89
algebra2005,akt,temperature,0.0616,0.017851,-0.043749,3.45
algebra2005,dkt,isotonic,0.0433,0.00607,-0.03723,7.13
algebra2005,dkt,none,0.0111,0.011583,0.000483,0.96
algebra2005,dkt,platt,0.0452,0.006017,-0.039183,7.51
algebra2005,dkt,temperature,0.0327,0.011989,-0.020711,2.73
algebra2005,sakt,isotonic,0.0644,0.007455,-0.056945,8.64
algebra2005,sakt,none,0.0546,0.05451,-9e-05,1.0
algebra2005,sakt,platt,0.0566,0.01241,-0.04419,4.56
algebra2005,sakt,temperature,0.0497,0.025174,-0.024526,1.97
algebra2005,simplekt,isotonic,0.0709,0.006551,-0.064349,10.82
algebra2005,simplekt,none,0.0556,0.055565,-3.5e-05,1.0
algebra2005,simplekt,platt,0.059,0.013747,-0.045253,4.29
algebra2005,simplekt,temperature,0.0556,0.024554,-0.031046,2.26
assist2009,akt,isotonic,0.0333,0.011848,-0.021452,2.81
assist2009,akt,none,0.0193,0.021062,0.001762,0.92
assist2009,akt,platt,0.0303,0.013291,-0.017009,2.28
assist2009,akt,temperature,0.0297,0.007504,-0.022196,3.96
assist2009,dkt,isotonic,0.0385,0.012349,-0.026151,3.12
assist2009,dkt,none,0.0127,0.012017,-0.000683,1.06
assist2009,dkt,platt,0.0342,0.0125,-0.0217,2.74
assist2009,dkt,temperature,0.0324,0.006583,-0.025817,4.92
assist2009,sakt,isotonic,0.0171,0.013075,-0.004025,1.31
assist2009,sakt,none,0.0432,0.043662,0.000462,0.99
assist2009,sakt,platt,0.0146,0.012107,-0.002493,1.21
assist2009,sakt,temperature,0.0155,0.009044,-0.006456,1.71
assist2009,simplekt,isotonic,0.0497,0.013672,-0.036028,3.64
assist2009,simplekt,none,0.0802,0.080257,5.7e-05,1.0
assist2009,simplekt,platt,0.0326,0.015539,-0.017061,2.1
