dataset,model,fold,method,ece,auc,brier,n_test,n_valid,pipeline
algebra2005,akt,0,none,0.022221,0.807882,0.14107,92945,112859,leakfree_pykt_v4
algebra2005,akt,0,platt,0.018262,0.807882,0.140139,92945,112859,leakfree_pykt_v4
algebra2005,akt,0,isotonic,0.009306,0.807788,0.139616,92945,112859,leakfree_pykt_v4
algebra2005,akt,0,temperature,0.019987,0.807882,0.140524,92945,112859,leakfree_pykt_v4
algebra2005,akt,1,none,0.024972,0.807937,0.140905,92945,111871,leakfree_pykt_v4
algebra2005,akt,1,platt,0.015269,0.807937,0.139852,92945,111871,leakfree_pykt_v4
algebra2005,akt,1,isotonic,0.010155,0.80779,0.13944,92945,111871,leakfree_pykt_v4
algebra2005,akt,1,temperature,0.018241,0.807937,0.140214,92945,111871,leakfree_pykt_v4
algebra2005,akt,2,none,0.026763,0.806223,0.141569,92945,100740,leakfree_pykt_v4
algebra2005,akt,2,platt,0.016819,0.806223,0.140598,92945,100740,leakfree_pykt_v4
algebra2005,akt,2,isotonic,0.006111,0.806062,0.140004,92945,100740,leakfree_pykt_v4
algebra2005,akt,2,temperature,0.017969,0.806223,0.14084,92945,100740,leakfree_pykt_v4
algebra2005,akt,3,none,0.035477,0.811003,0.140481,92945,94885,leakfree_pykt_v4
algebra2005,akt,3,platt,0.018121,0.811003,0.139098,92945,94885,leakfree_pykt_v4
algebra2005,akt,3,isotonic,0.003602,0.810737,0.138541,92945,94885,leakfree_pykt_v4
algebra2005,akt,3,temperature,0.016939,0.811003,0.139174,92945,94885,leakfree_pykt_v4
algebra2005,akt,4,none,0.026557,0.813399,0.139301,92945,89450,leakfree_pykt_v4
algebra2005,akt,4,platt,0.017204,0.813399,0.138259,92945,89450,leakfree_pykt_v4
algebra2005,akt,4,isotonic,0.003825,0.813158,0.137806,92945,89450,leakfree_pykt_v4
algebra2005,akt,4,temperature,0.016118,0.813399,0.138539,92945,89450,leakfree_pykt_v4
algebra2005,dkt,0,none,0.018427,0.80977,0.137509,92945,112859,leakfree_pykt_v4
algebra2005,dkt,0,platt,0.008312,0.80977,0.136785,92945,112859,leakfree_pykt_v4
algebra2005,dkt,0,isotonic,0.008396,0.809637,0.13686,92945,112859,leakfree_pykt_v4
algebra2005,dkt,0,temperature,0.022739,0.80977,0.137541,92945,112859,leakfree_pykt_v4
algebra2005,dkt,1,none,0.009144,0.808036,0.137535,92945,111871,leakfree_pykt_v4
algebra2005,dkt,1,platt,0.008111,0.808036,0.137509,92945,111871,leakfree_pykt_v4
algebra2005,dkt,1,isotonic,0.008684,0.807946,0.137595,92945,111871,leakfree_pykt_v4
algebra2005,dkt,1,temperature,0.006896,0.808036,0.137471,92945,111871,leakfree_pykt_v4
algebra2005,dkt,2,none,0.009056,0.808664,0.137157,92945,100740,leakfree_pykt_v4
algebra2005,dkt,2,platt,0.00432,0.808664,0.136991,92945,100740,leakfree_pykt_v4
algebra2005,dkt,2,isotonic,0.005417,0.80849,0.13707,92945,100740,leakfree_pykt_v4
algebra2005,dkt,2,temperature,0.010365,0.808664,0.137155,92945,100740,leakfree_pykt_v4
algebra2005,dkt,3,none,0.00945,0.80915,0.137183,92945,94885,leakfree_pykt_v4
algebra2005,dkt,3,platt,0.005059,0.80915,0.136979,92945,94885,leakfree_pykt_v4
algebra2005,dkt,3,isotonic,0.004145,0.808933,0.137063,92945,94885,leakfree_pykt_v4
algebra2005,dkt,3,temperature,0.009977,0.80915,0.137174,92945,94885,leakfree_pykt_v4
algebra2005,dkt,4,none,0.011838,0.811403,0.136463,92945,89450,leakfree_pykt_v4
algebra2005,dkt,4,platt,0.004281,0.811403,0.136228,92945,89450,leakfree_pykt_v4
algebra2005,dkt,4,isotonic,0.003709,0.811228,0.136272,92945,89450,leakfree_pykt_v4
algebra2005,dkt,4,temperature,0.009966,0.811403,0.136415,92945,89450,leakfree_pykt_v4
algebra2005,sakt,0,none,0.058987,0.784079,0.148954,92945,112859,leakfree_pykt_v4
algebra2005,sakt,0,platt,0.014077,0.784079,0.144893,92945,112859,leakfree_pykt_v4
algebra2005,sakt,0,isotonic,0.009452,0.784002,0.144758,92945,112859,leakfree_pykt_v4
algebra2005,sakt,0,temperature,0.017973,0.784079,0.145219,92945,112859,leakfree_pykt_v4
algebra2005,sakt,1,none,0.057575,0.783637,0.149274,92945,111871,leakfree_pykt_v4
algebra2005,sakt,1,platt,0.012471,0.783637,0.144957,92945,111871,leakfree_pykt_v4
