uid,ability_raw,ability_rasch,history_raw,rt_raw,ability_q,ability_rasch_q,history_q,rt_q
7,0.384765625,-0.1391520072439019,512.0,34121.756487025945,2,1,2,2
12,0.5662431941923775,0.8044876710075678,551.0,41152.85451197053,3,3,2,2
13,0.277822257806245,-0.42260877546891323,1249.0,15776.071139854486,0,1,3,0
24,0.25516693163751986,-0.6134630974106976,1258.0,13288.817377312953,0,0,3,0
31,0.20441988950276244,-0.837784796944525,724.0,11854.748603351954,0,0,3,0
32,0.30995475113122173,-0.22861223442060227,884.0,30082.37986270023,1,1,3,1
37,0.32482993197278914,-0.3296459159208101,588.0,17686.206896551725,1,1,2,0
48,0.25,-0.6170320815138947,448.0,29106.09480812641,0,0,2,1
56,0.4992867332382311,0.617468695679668,701.0,32326.61870503597,3,3,2,2
61,0.3127413127413127,-0.48042384908322694,777.0,17492.791612057666,1,0,3,0
69,0.3857791225416036,0.18251290245782625,661.0,29038.10975609756,2,2,2,1
73,0.28832116788321166,-0.359317063570101,1370.0,11141.376757957069,0,1,3,0
74,0.3566820276497696,0.05744825972237221,1085.0,13386.679000925069,1,2,3,0
79,0.4847775175644028,0.4733453320703554,427.0,29180.094786729856,3,3,2,1
82,0.28885135135135137,-0.43652960441167943,592.0,27441.9795221843,0,0,2,1
84,0.3421750663129973,-0.1574659719009432,377.0,40975.67567567567,1,1,1,2
88,0.2946768060836502,-0.404829715877211,1052.0,17007.648183556405,0,1,3,0
90,0.47578692493946734,0.48627643450403824,826.0,25619.39393939394,3,3,3,1
104,0.35406698564593303,-0.07069687753352516,1254.0,20620.883534136545,1,2,3,0
118,0.3939393939393939,-0.04234682573419583,165.0,33424.05063291139,2,2,0,2
120,0.25301204819277107,-0.6188222064613784,1328.0,12672.727272727272,0,0,3,0
128,0.4289185905224787,0.24327951606335707,823.0,20808.64197530864,2,2,3,0
129,0.3021680216802168,-0.41413373317104457,738.0,19651.162790697676,0,1,3,0
138,0.3333333333333333,0.13126644901992296,12.0,101000.0,1,2,0,3
149,0.24623376623376622,-0.6630550856433689,1925.0,8436.847599164927,0,0,3,0
151,0.4627092846270928,0.41043540599109424,657.0,27729.52086553323,2,3,2,1
165,0.5300146412884333,0.7402121344845813,683.0,33424.15316642121,3,3,2,2
166,0.3202979515828678,-0.27251465919306894,537.0,23567.924528301886,1,1,2,1
176,0.6868131868131868,1.367090521213592,364.0,51428.96935933147,3,3,1,3
182,0.3185595567867036,-0.17885764447379768,361.0,20235.45706371191,1,1,1,0
208,0.5441640378548895,0.7720717153260256,634.0,25647.709320695103,3,3,2,1
232,0.47671840354767187,0.42556157860939814,451.0,39334.08071748879,3,3,2,2
234,0.6863905325443787,1.4279302444811066,169.0,55098.765432098764,3,3,0,3
240,0.4089184060721063,0.15534401327771577,1054.0,29566.12761904762,2,2,3,1
243,0.4035532994923858,-0.09008239754287868,394.0,29274.358974358973,2,1,1,1
250,0.5,0.5184036412557252,450.0,40468.181818181816,3,3,2,2
252,0.48342541436464087,0.4837818817467219,362.0,47575.93123209169,3,3,1,3
253,0.5759493670886076,0.9393181526547123,316.0,40067.092651757186,3,3,1,2
255,0.7090909090909091,1.4399180885529053,330.0,48829.19254658385,3,3,1,3
257,0.6126760563380281,0.9982414953456598,142.0,49801.470588235294,3,3,0,3
263,0.33185840707964603,-0.30630871949957605,452.0,26253.333333333332,1,1,2,1
269,0.6134663341645885,0.8733311826554997,401.0,42038.26530612245,3,3,1,3
283,0.45495495495495497,0.42883883962863645,222.0,48903.22580645161,2,3,0,3
290,0.4356223175965665,0.16799408087868814,466.0,34264.77024070022,2,2,2,2
302,0.5646437994722955,0.7574808628794025,379.0,51764.07506702413,3,3,1,3
319,0.3253333333333333,-0.4341617189419655,375.0,39965.05376344086,1,1,1,2
322,0.36828644501278773,-0.56699072153658,391.0,32496.103896103898,1,0,1,2
323,0.518348623853211,-0.08010353409898889,218.0,33688.37209302326,3,2,0,2
326,0.46226415094339623,0.44867403134429495,424.0,38278.57142857143,2,3,1,2
327,0.45151515151515154,0.36664846817322694,330.0,42829.19254658385,2,2,1,3
332,0.36414253897550114,-0.14803235155157732,898.0,23752.262443438914,1,1,3,1
333,0.3468414779499404,-0.1131655545040686,839.0,18714.987714987714,1,1,3,0
348,0.4902439024390244,0.5753246599240184,410.0,42477.94117647059,3,3,1,3
350,0.29085872576177285,-0.2922849487185845,361.0,25702.54957507082,0,1,1,1
351,0.5490716180371353,0.8895314343319346,754.0,31082.777036048064,3,3,3,2
352,0.27598566308243727,-0.5381590632554677,1395.0,12920.899854862118,0,0,3,0
354,0.46153846153846156,0.3752996007515066,858.0,23377.93427230047,2,3,3,1
358,0.45491803278688525,0.42958942514029935,488.0,25629.09836065574,2,3,2,1
366,0.3915441176470588,0.23226386049910958,544.0,26682.745825602968,2,2,2,1
368,0.5621387283236994,0.8326944512180497,692.0,44555.720653789,3,3,2,3
374,0.3753280839895013,0.09501744172168258,762.0,27014.53104359313,2,2,3,1
377,0.29829545454545453,-0.48652069137303894,704.0,16871.428571428572,0,0,2,0
383,0.350561797752809,-0.1771041698905901,445.0,30173.120728929385,1,1,2,1
384,0.5552407932011332,0.8706309841514346,706.0,29889.518413597732,3,3,3,1
388,0.34536082474226804,0.10770702668134727,388.0,31546.63212435233,1,2,1,2
394,0.3340587595212187,-0.21270985435340808,919.0,14680.570801317233,1,1,3,0
398,0.4936416184971098,0.5979585726589031,865.0,25330.24333719583,3,3,3,1
399,0.2636103151862464,-0.8277170997973827,349.0,9075.36231884058,0,0,1,0
400,0.40719910011248595,0.11317878170513396,889.0,24191.392978482447,2,2,3,1
404,0.5994587280108254,1.01443335846555,739.0,31611.940298507463,3,3,3,2
408,0.26047565118912797,-0.483278222282341,883.0,26165.148063781322,0,0,3,1
410,0.4288224956063269,0.3667916653090074,569.0,30578.01418439716,2,2,2,1
421,0.3281061519903498,-0.20691686410321797,829.0,17684.91484184915,1,1,3,0
423,0.2701298701298701,-0.29888261484434225,385.0,28624.6719160105,0,1,1,1
424,0.40746500777604977,0.16393932560348573,643.0,26568.75,2,2,2,1
426,0.3012640449438202,-0.34495914116396736,1424.0,15995.741660752306,0,1,3,0
428,0.23980815347721823,-0.6673677167618468,417.0,18111.11111111111,0,0,1,0
430,0.36857142857142855,-0.025852032034517608,350.0,40387.93103448276,1,2,1,2
