uid,ability_raw,ability_rasch,history_raw,rt_raw,ability_q,ability_rasch_q,history_q,rt_q
7,0.8364611260053619,-0.4408031807054984,1492.0,8878.378378378378,1,0,2,0
9,0.8143712574850299,-0.22004053204868887,2171.0,14512.183235867446,1,1,3,0
13,0.9291553133514986,0.6771807467493062,734.0,13251.461988304094,3,3,0,0
24,0.8561320754716981,0.811679421884001,2120.0,21677.89165446559,2,3,3,3
25,0.8484848484848485,0.6777481335847598,2145.0,14936.992840095465,2,3,3,1
31,0.8295724465558195,0.6882739610815525,1684.0,22971.761817065686,1,3,2,3
32,0.7734037445991359,0.029396906505220956,2083.0,24350.171652770965,0,2,3,3
36,0.7408829174664108,-0.3844627416708928,1563.0,20145.043246839654,0,0,2,2
37,0.8054886856042369,0.385161217820117,2077.0,24160.31667491341,1,3,3,3
41,0.8006401463191587,0.3101578665578955,2187.0,19867.667761614266,0,2,3,2
48,0.3333333333333333,-0.4484606139850876,3.0,31500.0,0,0,0,3
56,0.8188976377952756,-0.1812437550228975,254.0,11181.069958847736,1,1,0,0
58,0.8320067029744449,-0.053326977986287986,2387.0,17835.27764815679,1,1,3,2
61,0.8558462359850507,0.26620010226536,1873.0,17422.709387296232,2,2,2,1
67,0.8531187122736419,0.09831335078981877,1491.0,13524.635669673838,2,2,2,0
69,0.8586844809866393,0.22909912089174017,1946.0,12160.629921259842,2,2,2,0
73,0.8311499272197962,-0.3737374762904095,687.0,16092.063492063493,1,1,0,1
74,0.8387096774193549,-0.04490140077690116,7378.0,12374.078275666478,1,1,3,0
79,0.7146092865232163,-1.2937172785112923,1766.0,11113.848202396804,0,0,2,0
82,0.9320652173913043,0.6506307155991184,1104.0,12215.799614643545,3,3,1,0
88,0.8567415730337079,0.5032377550251745,2136.0,14647.286821705426,2,3,3,1
90,0.7241243604879969,-1.206987116848882,2541.0,13812.03337725077,0,0,3,0
104,0.8301587301587302,-0.20523129726683306,1890.0,11181.508791832104,1,1,2,0
117,0.7453416149068323,-0.9087910849327697,644.0,9120.661157024793,0,0,0,0
118,0.9344422700587084,0.78177651968084,1022.0,11490.413723511605,3,3,1,0
119,0.8966689326988443,0.9062280653663726,1471.0,13591.836734693878,3,3,2,0
120,0.9576547231270358,1.3258356672435656,307.0,8344.202898550724,3,3,0,0
128,0.8078703703703703,-0.6302584605016046,1296.0,20609.794628751974,1,0,1,2
130,0.8624725676664228,0.4587518453005819,1367.0,25809.022556390977,2,3,2,3
137,0.8633744855967078,-0.036402262703599114,1215.0,12677.448337825695,2,1,1,0
138,0.8598484848484849,0.3084648897983035,1320.0,24014.240506329115,2,2,2,3
139,0.827521206409048,0.3176181831668134,1061.0,28717.542120911792,1,2,1,3
141,0.8328530259365994,-0.08734212957924742,1735.0,20225.20908004779,1,1,2,2
149,0.7946650124069479,-0.09179809500430487,1612.0,24736.542115262826,0,1,2,3
151,0.905396402398401,0.5588177368628089,1501.0,15920.470262793915,3,3,2,1
165,0.7991313789359392,-0.09593421530120592,1842.0,24002.21238938053,0,1,2,3
166,0.8004938271604938,-0.48574253113553795,2025.0,19398.119122257052,0,0,3,2
182,0.8404332129963898,0.3229744891206819,1385.0,23218.033998521805,1,2,2,3
208,0.8806083650190114,-0.02671529184467399,1315.0,15457.707509881422,3,1,1,1
223,0.8799403430275914,0.6010071072953799,1341.0,19974.056603773584,2,3,2,2
225,0.8785471055618616,0.031841344625115474,881.0,25235.928143712576,2,2,1,3
232,0.8721804511278195,-0.3438674398345789,133.0,14309.52380952381,2,1,0,0
238,0.8660260033917467,0.18022444254562497,1769.0,17804.61811722913,2,2,2,2
243,0.8859556494192186,0.5229502227906175,947.0,26920.910075839653,3,3,1,3
250,0.8105095541401274,-0.458579857943567,1884.0,19643.867924528302,1,0,2,2
253,0.8588738417676408,0.08988915125319973,1403.0,23145.221971407074,2,2,2,3
255,0.7489413188142771,-0.6714174421424008,1653.0,25897.388059701494,0,0,2,3
257,0.8493909191583611,0.3495082183581421,903.0,26474.402730375426,2,3,1,3
263,0.8399612027158099,-0.33688128766297015,2062.0,18678.321678321678,1,1,3,2
269,0.8423383525243578,0.29786037327576365,1129.0,23164.332399626517,1,2,1,3
283,0.7779960707269156,-0.9767513625509913,509.0,15567.164179104477,0,0,0,1
290,0.921627731725697,0.5155469562389412,1327.0,23585.214007782102,3,3,2,3
302,0.8835257082896117,0.3037727534182575,953.0,16475.19294377067,3,2,1,1
312,0.8782870022539444,0.23580915646079897,1331.0,15498.848810437452,2,2,2,1
318,0.8800292611558157,0.5530722018034132,1367.0,21850.0,3,3,2,3
319,0.9245762711864407,1.0524912569604445,1180.0,18708.04195804196,3,3,1,2
323,0.8603248259860788,0.2346163603600427,2155.0,13847.32824427481,2,2,3,0
326,0.9104683195592287,0.9966762976416665,726.0,21473.906911142454,3,3,0,2
327,0.8313458262350937,-0.32778324023709826,587.0,17638.640429338102,1,1,0,1
332,0.8857479387514723,0.1358132181970384,849.0,14706.235011990408,3,2,1,1
333,0.9527363184079602,1.3379168731936146,804.0,17269.576379974325,3,3,0,1
335,0.9435414884516681,1.089476309632833,1169.0,16272.647317502198,3,3,1,1
350,0.9551724137931035,1.309951643025216,870.0,23167.25978647687,3,3,1,3
351,0.8719165085388995,0.18258873576164522,1054.0,17927.18446601942,2,2,1,2
352,0.72,-0.6669823841276339,25.0,55434.782608695656,0,0,0,3
354,0.8670658682634731,-0.05984990943088698,835.0,21593.90243902439,2,1,1,2
374,0.810368349249659,-0.4406360093689966,733.0,16718.926553672318,1,0,0,1
377,0.8558786346396966,-0.1744706667061654,791.0,20976.439790575918,2,1,0,2
383,0.8867562380038387,0.21645139998510093,1042.0,16600.0,3,2,1,1
384,0.8138033763654419,-0.21330577791530939,2014.0,14519.387755102041,1,1,3,0
388,0.8515406162464986,-0.051278597691358674,1071.0,20007.604562737644,2,1,1,2
389,0.9078066914498141,0.7918408474819527,1345.0,18159.319412219644,3,3,2,2
390,0.8899486426999267,0.2780373180182829,1363.0,14946.666666666666,3,2,2,1
394,0.8830449826989619,0.09789804523692046,1445.0,14161.1071682044,3,2,2,0
398,0.8129675810473815,-0.6868574811637919,802.0,16145.244215938303,1,0,0,1
399,0.8328690807799443,-0.12918777182859495,718.0,16399.42528735632,1,1,0,1
400,0.8082010582010583,-0.5599082194188328,1512.0,13280.32345013477,1,0,2,0
403,0.6226415094339622,-1.8404338124921735,53.0,48700.0,0,0,0,3
404,0.8826479438314945,0.15578635542629818,997.0,13020.725388601037,3,2,1,0
407,0.8823529411764706,0.015465356572866195,799.0,14053.435114503816,3,2,0,0
423,0.9026047565118913,0.16224453063548536,883.0,18272.08480565371,3,2,1,2
424,0.824390243902439,-0.22635365435242585,205.0,21955.223880597016,1,1,0,3
426,0.8436170212765958,-0.45422994763720836,940.0,12711.771177117711,1,0,1,0
430,0.8791002811621368,-0.048013289893835784,1067.0,16610.31518624642,2,1,1,1
432,0.8997078870496592,0.20475993211272672,1027.0,21971.774193548386,3,2,1,3
439,0.9345454545454546,0.5612920516252267,825.0,25331.670822942644,3,3,1,3
440,0.9304703476482618,1.2323439537669978,978.0,19595.767195767196,3,3,1,2
442,0.8955613577023499,0.2850544639068995,766.0,20379.781420765026,3,2,0,2
443,0.8722707423580786,0.129972143911402,916.0,20915.39365452409,2,2,1,2
453,1.0,2.7116771026017354,9.0,5125.0,3,3,0,0
456,0.6923076923076923,-0.24667166165053706,13.0,31000.0,0,1,0,3
457,1.0,1.8747397252555207,4.0,18000.0,3,3,0,2
472,0.7786658469105441,-0.37162547145043895,3253.0,18479.080166081123,0,1,3,2
473,0.8702830188679245,-0.018070697717718867,2544.0,17045.735475896166,2,1,3,1
479,0.749866950505588,-1.0229085903804094,1879.0,14866.369710467707,0,0,2,1
481,0.7387267904509284,-1.1083087246523122,3770.0,14507.41673663588,0,0,3,0
485,0.8396396396396396,-0.2742072991251877,2775.0,20172.62128619782,1,1,3,2
490,0.6816037735849056,-0.6619603777420263,424.0,23487.62376237624,0,0,0,3
492,0.8636363636363636,0.7745547671553071,110.0,19990.47619047619,2,3,0,2
496,0.8052173913043478,-0.3487325558862649,575.0,23352.313167259785,1,1,0,3
507,0.6331658291457286,-1.6108353719673036,199.0,19258.24175824176,0,0,0,2
