uid,ability_raw,ability_rasch,history_raw,rt_raw,ability_q,ability_rasch_q,history_q,rt_q
7,0.8,1.9928892498864617,35.0,19514.285714285714,3,3,2,1
8,0.42857142857142855,-0.5895784798548298,7.0,6857.142857142857,1,0,0,0
11,0.6666666666666666,0.9202663089657546,129.0,20356.58914728682,3,3,3,1
14,0.7142857142857143,1.0589705779796053,7.0,29000.0,3,3,0,2
16,0.2857142857142857,-0.5248610676044189,7.0,21000.0,0,0,0,1
20,0.0,-3.6177002011414094,7.0,38571.42857142857,0,0,0,3
29,0.42424242424242425,-0.31136019012702354,33.0,14575.757575757576,1,1,2,0
31,0.42857142857142855,-0.003899681979093087,7.0,14142.857142857143,1,1,0,0
36,0.4074074074074074,-0.8477545676382097,27.0,14370.37037037037,1,0,2,0
38,0.6666666666666666,0.7016913961623906,150.0,19739.92,3,3,3,1
48,0.31666666666666665,-1.21481488714603,60.0,21849.866666666665,0,0,3,1
56,0.669433962264151,0.5110315210737769,1325.0,28192.74074074074,3,2,3,2
61,0.5555555555555556,0.678682752576098,9.0,35333.333333333336,2,3,1,3
83,0.6645161290322581,0.16465081874013915,155.0,16683.870967741936,3,2,3,0
84,0.5904761904761905,0.22152343784414427,420.0,28776.178571428572,2,2,3,2
86,0.6951071572988273,0.5430552103643632,2473.0,28741.411241407197,3,2,3,2
89,0.5294117647058824,0.3131789519280509,17.0,20117.647058823528,2,2,2,1
104,0.4,-0.10042235563797233,10.0,40400.0,1,1,1,3
109,0.42857142857142855,0.2693989904194934,7.0,45857.142857142855,1,2,0,3
110,0.5967741935483871,0.41443491489229917,62.0,14774.193548387097,2,2,3,0
116,0.6690172884440401,0.9096063345271879,4396.0,42221.75756186985,3,3,3,3
117,0.375,-0.5185216323419636,8.0,12875.0,0,0,1,0
118,0.75,0.38985822701997536,4.0,35750.0,3,2,0,3
121,0.42857142857142855,0.0025131703901805982,7.0,44571.42857142857,1,1,0,3
122,0.6263565891472869,0.25833607660246855,645.0,19195.309375,2,2,3,1
123,0.391304347826087,-0.3449521657354924,23.0,22826.08695652174,1,1,2,1
129,0.5714285714285714,0.08175609971789065,7.0,15428.57142857143,2,2,0,0
136,0.42857142857142855,-0.13829202273408056,7.0,21428.571428571428,1,1,0,1
140,0.6531240381655894,0.03479318139156696,3249.0,44176.01244942421,2,1,3,3
145,0.25,-0.15487802271324538,8.0,35750.0,0,1,1,3
147,0.45454545454545453,0.5704576386480049,11.0,34090.90909090909,1,2,1,3
149,0.7758620689655172,0.9361370281041275,58.0,25034.48275862069,3,3,3,2
156,0.6046511627906976,0.011411835039648873,43.0,19209.25581395349,2,1,3,1
164,0.2857142857142857,-0.6251878212745082,7.0,29142.85714285714,0,0,0,2
169,0.475,0.24518585519479705,40.0,17524.925,1,2,2,0
176,0.7272727272727273,1.4370379464999206,11.0,21818.18181818182,3,3,1,1
179,0.2222222222222222,-0.632083057547488,9.0,30222.222222222223,0,0,1,3
180,0.5699708454810496,-0.32118959279521486,686.0,29530.54081632653,2,1,3,3
191,0.25,-0.3868851555707725,4.0,39250.0,0,1,0,3
203,0.625,0.13268099040476528,16.0,24750.0,2,2,2,2
204,0.2,-1.031285516837965,5.0,25400.0,0,0,0,2
208,0.25925925925925924,-0.9995204812914146,54.0,49351.7962962963,0,0,3,3
211,0.7647058823529411,1.1480505512771209,17.0,14941.176470588236,3,3,2,0
215,0.45121951219512196,-1.0496427777079007,82.0,19792.682926829268,1,0,3,1
216,0.7272727272727273,1.063461021684743,11.0,19272.727272727272,3,3,1,1
224,0.7372549019607844,1.0722144672643885,765.0,28004.552356020944,3,3,3,2
229,0.64,0.6351829646757235,50.0,21079.94,2,2,3,1
237,0.717391304347826,1.2120245772077254,46.0,27869.565217391304,3,3,3,2
239,0.4,-0.25672987190307867,40.0,17299.875,1,1,2,0
244,0.5555555555555556,-0.11678505537628275,99.0,22080.78787878788,2,1,3,1
245,0.4,-0.8711644534409042,5.0,22000.0,1,0,0,1
250,0.692764857881137,0.8794682825022235,3870.0,18975.45219638243,3,3,3,0
256,0.4,-1.1461229088206948,5.0,25800.0,1,0,0,2
263,0.5714285714285714,0.15470948272607074,7.0,21142.85714285714,2,2,0,1
269,0.75,-0.295365406747213,4.0,36250.0,3,1,0,3
276,0.8333333333333334,1.6291127772028913,30.0,20933.333333333332,3,3,2,1
284,0.6046511627906976,0.535218357816506,86.0,21000.0,2,2,3,1
296,0.42857142857142855,-0.172018346138879,7.0,23714.285714285714,1,1,0,2
302,0.16666666666666666,-1.545360923838867,6.0,60333.333333333336,0,0,0,3
305,0.1,-2.0189007385827615,10.0,16900.0,0,0,1,0
308,0.6561743341404358,0.9868554822776541,413.0,25043.566585956418,2,3,3,2
310,0.625,0.8118326505972324,8.0,22625.0,2,3,1,1
323,0.36666666666666664,-0.03830322907718061,30.0,34866.6,0,1,2,3
325,0.7240356083086054,1.2642621433249692,337.0,20228.40949554896,3,3,3,1
330,0.5555555555555556,0.48110721335554807,9.0,22333.333333333332,2,2,1,1
342,0.42857142857142855,0.37653951534757396,7.0,13857.142857142857,1,2,0,0
354,0.0,-2.325664415019477,3.0,23666.666666666668,0,0,0,2
358,0.765045342126958,1.5042947642575162,1213.0,25276.018136850784,3,3,3,2
366,0.6,0.8169673650852209,20.0,13050.0,2,3,2,0
375,0.6,0.4399396814304563,5.0,22000.0,2,2,0,1
379,0.47058823529411764,-0.2529328736834195,17.0,42647.05882352941,1,1,2,3
398,0.3333333333333333,-0.5628238127631695,6.0,43833.333333333336,0,0,0,3
402,0.4375,-0.5960977753120276,32.0,23562.5,1,0,2,2
404,0.23333333333333334,-0.6386942036164293,30.0,14299.866666666667,0,0,2,0
408,0.5714285714285714,0.2789971762226976,14.0,11571.42857142857,2,2,1,0
415,0.7692307692307693,1.3916816842533954,39.0,12692.307692307691,3,3,2,0
418,0.5454545454545454,0.10651684020006048,22.0,22818.18181818182,2,2,2,1
425,0.2,-0.6494744042475666,5.0,18200.0,0,0,0,0
431,0.25,-0.7111037237733686,4.0,22000.0,0,0,0,1
434,0.6666666666666666,0.38477484974026294,3.0,19666.666666666668,3,2,0,1
437,0.3333333333333333,-0.38063008879976373,9.0,35444.444444444445,0,1,1,3
439,0.16666666666666666,-1.0001541354287695,6.0,16333.333333333334,0,0,0,0
443,0.42857142857142855,-0.14422491398738743,7.0,27142.85714285714,1,1,0,2
444,0.4444444444444444,-0.4994620795767384,9.0,21111.11111111111,1,0,1,1
446,0.2857142857142857,-1.4545522798802994,14.0,17071.428571428572,0,0,1,0
454,0.5887050770108385,0.37276371536757474,1753.0,38611.33123929183,2,2,3,3
455,0.42857142857142855,-0.581772357588281,7.0,26000.0,1,0,0,2
466,0.5730337078651685,0.6069867471545463,89.0,25528.044943820223,2,2,3,2
481,0.5,-0.07231177245506365,4.0,22000.0,1,1,0,1
482,0.25,-0.7111037237733686,4.0,21000.0,0,0,0,1
483,0.6639344262295082,0.6972119417260993,488.0,23754.08606557377,3,3,3,2
485,0.375,-0.39508175123568573,8.0,47000.0,0,1,1,3
495,0.6296296296296297,0.9140972643799048,27.0,25629.555555555555,2,3,2,2
500,0.7857142857142857,0.8344275250538082,14.0,15571.42857142857,3,3,1,0
502,0.9090909090909091,2.4936279546675406,11.0,23636.363636363636,3,3,1,2
504,0.14285714285714285,-1.684687512442854,7.0,24000.0,0,0,0,2
505,0.6341463414634146,0.2184412207890933,164.0,32170.731707317074,2,2,3,3
507,0.54,0.1752012712055402,50.0,35379.88,2,2,3,3
519,0.5666666666666667,-0.47558456715991265,30.0,21433.333333333332,2,1,2,1
527,0.42857142857142855,-0.10830022107764933,7.0,15285.714285714286,1,1,0,0
528,0.42857142857142855,-0.4178931903303941,7.0,42428.57142857143,1,1,0,3
532,0.8666666666666667,2.3330113707270312,30.0,29666.766666666666,3,3,2,3
534,0.9333333333333333,3.025720944387617,30.0,30533.166666666668,3,3,2,3
535,0.2,-1.0823728679983482,5.0,17000.0,0,0,0,0
538,0.5454545454545454,0.7419329259208933,11.0,30454.545454545456,2,3,1,3
539,0.4444444444444444,-0.8541615070642554,27.0,14407.407407407407,1,0,2,0
540,0.7058823529411765,0.21742651069477212,34.0,17088.235294117647,3,2,2,0
549,0.8333333333333334,1.0642075278921854,30.0,20233.333333333332,3,3,2,1
551,0.6,-0.1592084619517948,5.0,48400.0,2,1,0,3
566,0.4,-0.5721362197526242,5.0,22000.0,1,0,0,1
573,0.42857142857142855,-1.023993511946646,7.0,12857.142857142857,1,0,0,0
577,0.0,-3.1008858866926365,5.0,22400.0,0,0,0,1
579,0.5789473684210527,0.41289642563017354,19.0,13368.421052631578,2,2,2,0
589,0.375,-0.02932142391892494,8.0,26125.0,0,1,1,2
593,0.13333333333333333,-1.3104457034715051,30.0,2366.4666666666667,0,0,2,0
596,0.2857142857142857,-0.8938990271647564,7.0,17857.14285714286,0,0,0,0
601,0.6888888888888889,1.1041161038951728,45.0,25266.48888888889,3,3,3,2
602,0.5555555555555556,0.29847033879138085,36.0,28555.555555555555,2,2,2,2
606,0.3333333333333333,-0.37788370917981406,3.0,23000.0,0,1,0,1
607,0.6666666666666666,1.2133861566782111,30.0,38633.3,3,3,2,3
608,0.5555555555555556,-0.13786411460390033,27.0,21592.59259259259,2,1,2,1
609,0.2857142857142857,-0.34109232411773366,7.0,12857.142857142857,0,1,0,0
610,0.7,0.808040571360351,90.0,20266.666666666668,3,3,3,1
613,0.4,-0.24738895135642436,5.0,32000.0,1,1,0,3
616,0.6866952789699571,0.6128576213115012,466.0,20218.87982832618,3,2,3,1
618,0.5454545454545454,0.6223296324635746,11.0,42909.09090909091,2,2,1,3
626,0.7407407407407407,0.1728197602132124,27.0,25814.814814814814,3,2,2,2
634,0.36363636363636365,0.07357432476057107,11.0,41636.36363636364,0,2,1,3
635,0.6363636363636364,1.1378442263271293,11.0,25636.363636363636,2,3,1,2
647,0.3333333333333333,-0.5660535970240025,3.0,31000.0,0,0,0,3
648,0.3111111111111111,-0.6594460330912837,45.0,4999.844444444445,0,0,3,0
656,0.2857142857142857,-0.4165895954723874,7.0,19714.285714285714,0,1,0,1
661,0.6870527000650618,0.09497250022533604,1537.0,21159.173064411192,3,2,3,1
666,0.7083333333333334,0.934607207550647,24.0,43000.0,3,3,2,3
672,0.8571428571428571,2.029245432455179,7.0,22428.571428571428,3,3,0,1
679,0.7208121827411168,0.9576526047995406,197.0,18507.593908629442,3,3,3,0
683,0.41935483870967744,-0.19526407394357062,31.0,12290.322580645161,1,1,2,0
684,0.7927927927927928,1.20619040080396,222.0,19743.171171171172,3,3,3,1
687,0.0,-3.6177002011414094,7.0,26857.14285714286,0,0,0,2
696,0.5833333333333334,0.34232909010979146,60.0,27116.683333333334,2,2,3,2
697,0.8,0.8264632702154023,5.0,25800.0,3,3,0,2
698,0.7027027027027027,1.3636686609340258,37.0,32378.297297297297,3,3,2,3
702,0.25,-0.9308828052995363,12.0,12583.333333333334,0,0,1,0
704,0.5051194539249146,-0.6990614475196423,293.0,27631.38566552901,2,0,3,2
707,0.7148080438756855,0.7782851792163424,547.0,22804.378427787935,3,3,3,1
709,0.5555555555555556,0.7643774752656644,9.0,26777.777777777777,2,3,1,2
711,0.7175141242937854,1.538642027338026,177.0,25943.4406779661,3,3,3,2
714,0.36666666666666664,0.007089064621266802,30.0,19066.533333333333,0,1,2,0
720,0.6666666666666666,0.14502241558119142,15.0,19266.666666666668,3,2,2,1
725,0.4,0.14941803693895425,30.0,22433.166666666668,1,2,2,1
726,0.7727272727272727,0.3308812860792626,22.0,18590.909090909092,3,2,2,0
730,0.4489795918367347,-0.45372459239064133,49.0,20625.0,1,1,3,1
735,0.36363636363636365,-0.06725540654986846,11.0,8000.0,0,1,1,0
749,0.5714285714285714,0.16867241925939577,7.0,56857.142857142855,2,2,0,3
750,0.41605839416058393,-1.007957446193681,137.0,14277.34306569343,1,0,3,0
754,0.2777777777777778,-1.012618310428065,18.0,16111.111111111111,0,0,2,0
757,0.7333333333333333,1.5237982952463685,30.0,23533.2,3,3,2,2
766,0.625,1.303700799431112,8.0,36250.0,2,3,1,3
775,0.35714285714285715,-0.27251680929708805,14.0,44214.28571428572,0,1,1,3
777,0.23333333333333334,-0.692368434615926,30.0,26166.666666666668,0,0,2,2
787,0.6666666666666666,1.2595442397000922,30.0,16300.0,3,3,2,0
790,0.5,0.5192758920073588,30.0,27333.233333333334,1,2,2,2
797,0.6153846153846154,1.056199399047534,117.0,18948.71794871795,2,3,3,0
800,0.5,0.09236229924693186,4.0,31750.0,1,2,0,3
803,0.5465116279069767,0.04683800270834121,516.0,19427.182524271844,2,1,3,1
812,0.4117647058823529,-1.0138646668954228,17.0,21529.41176470588,1,0,2,1
834,0.3333333333333333,-0.1880590070863131,30.0,32866.6,0,1,2,3
835,0.25,-0.7111037237733686,4.0,27250.0,0,0,0,2
842,0.7942864119155171,1.68485704500483,8191.0,22716.888739618953,3,3,3,1
843,0.5833333333333334,0.4723854409380599,168.0,19401.19760479042,2,2,3,1
847,0.6666666666666666,0.5963719208424545,3.0,8666.666666666666,3,2,0,0
856,0.07692307692307693,-1.7327228321418486,13.0,16384.30769230769,0,0,1,0
868,0.8888888888888888,2.2098396090694763,9.0,21222.222222222223,3,3,1,1
877,0.8333333333333334,1.5883330458602127,6.0,17833.333333333332,3,3,0,0
881,0.3333333333333333,0.031214561109596695,9.0,17444.444444444445,0,1,1,0
885,0.5,-0.05357315869411264,6.0,30333.333333333332,1,1,0,3
893,0.43333333333333335,0.2877645565582938,30.0,29866.466666666667,1,2,2,3
894,0.7711864406779662,0.7642377590733493,236.0,21932.194915254237,3,3,3,1
897,0.42857142857142855,-0.32079024903704756,7.0,15428.57142857143,1,1,0,0
900,0.2857142857142857,-0.9588749844623103,7.0,48428.57142857143,0,0,0,3
903,0.45454545454545453,0.6724499401913206,11.0,24272.727272727272,1,3,1,2
905,0.3333333333333333,-1.7868897479071488,6.0,26666.666666666668,0,0,0,2
909,0.6765432098765433,0.547818340057621,405.0,24639.48148148148,3,2,3,2
913,0.7,1.479453343664777,270.0,17292.59259259259,3,3,3,0
924,0.7142857142857143,0.7419616750255816,7.0,27999.714285714286,3,3,0,2
944,0.4142857142857143,-0.8286254131596026,70.0,26757.071428571428,1,0,3,2
948,0.2857142857142857,0.004834067820136463,7.0,27142.85714285714,0,1,0,2
955,0.5669144981412639,-0.5877692243950167,538.0,36429.05037313433,2,0,3,3
956,0.5925925925925926,-0.15329036802498544,27.0,23148.14814814815,2,1,2,2
958,0.2,-1.6770032705506954,15.0,25266.666666666668,0,0,2,2
970,0.2222222222222222,-0.9725489462808613,9.0,10888.888888888889,0,0,1,0
973,0.42857142857142855,-0.4936307147678068,7.0,21142.85714285714,1,0,0,1
976,0.5825471698113207,-0.7214843666473253,848.0,27449.23113207547,2,0,3,2
1001,0.43478260869565216,-0.4098793095227547,46.0,18000.0,1,1,3,0
1002,0.3333333333333333,-0.37788370917981406,3.0,23000.0,0,1,0,1
1007,0.42857142857142855,-0.48894636965859806,7.0,28571.428571428572,1,1,0,2
1008,0.13333333333333333,-1.3104457034715051,30.0,21166.466666666667,0,0,2,1
1011,0.6846590909090909,0.20138907525292327,704.0,21676.125,3,2,3,1
1012,0.7020408163265306,1.026882711817405,245.0,21926.514285714286,3,3,3,1
1013,0.7657957244655582,0.7748638671201217,2105.0,30997.120994739358,3,3,3,3
1020,0.5151515151515151,0.5940781712803214,33.0,19212.030303030304,2,2,2,1
1026,0.5333333333333333,0.6911375867687487,30.0,33633.166666666664,2,3,2,3
1030,0.25,-0.7111037237733686,4.0,20750.0,0,0,0,1
1033,0.4,0.06854560651422849,5.0,29200.0,1,2,0,3
1037,0.625,0.5990924947233914,8.0,23500.0,2,2,1,2
1046,0.47058823529411764,0.12237257309645878,17.0,20000.0,1,2,2,1
1067,0.7666666666666667,0.9060411444089603,30.0,16966.666666666668,3,3,2,0
1068,0.7336683417085427,1.0618820586589295,199.0,26170.834170854272,3,3,3,2
1076,0.6428571428571429,0.72237830262077,42.0,18309.52380952381,2,3,3,0
1083,0.41025641025641024,0.02174956914700211,39.0,22999.923076923078,1,1,2,1
1085,0.6,0.6352637046337145,5.0,23200.0,2,2,0,2
1086,0.36363636363636365,0.05016387867746076,22.0,3999.9545454545455,0,1,2,0
1092,0.5121951219512195,-0.5979952969405623,41.0,24243.90243902439,2,0,3,2
1093,0.5161290322580645,0.16450978339075895,31.0,12548.387096774193,2,2,2,0
1101,0.2222222222222222,-1.2087200897236254,9.0,25666.666666666668,0,0,1,2
1103,0.7272727272727273,1.5828451251037783,11.0,25727.272727272728,3,3,1,2
1104,0.5454545454545454,0.3398632082462872,11.0,26000.0,2,2,1,2
1108,0.8666666666666667,2.3330113707270312,30.0,11099.966666666667,3,3,2,0
1112,0.5,0.1550030390298698,18.0,23833.333333333332,1,2,2,2
