dataset,fold,axis,n_students,n_bins,min_bin_size,max_bin_size,edges
assist2009,0,ability_raw,770,4,171,212,0;0.470588;0.666667;0.789474;1
assist2009,0,ability_rasch,770,4,192,193,-5.9726;-0.953446;0.0891123;0.966338;4.41002
assist2009,0,history,770,4,182,201,3;10;25;66;921
assist2009,0,rt,0,0,0,0,
assist2009,1,ability_raw,770,4,171,212,0;0.470588;0.666667;0.789474;1
assist2009,1,ability_rasch,770,4,192,193,-5.9726;-0.953446;0.0891123;0.966338;4.41002
assist2009,1,history,770,4,182,201,3;10;25;66;921
assist2009,1,rt,0,0,0,0,
assist2009,2,ability_raw,770,4,171,212,0;0.470588;0.666667;0.789474;1
assist2009,2,ability_rasch,770,4,192,193,-5.9726;-0.953446;0.0891123;0.966338;4.41002
assist2009,2,history,770,4,182,201,3;10;25;66;921
assist2009,2,rt,0,0,0,0,
assist2009,3,ability_raw,770,4,171,212,0;0.470588;0.666667;0.789474;1
assist2009,3,ability_rasch,770,4,192,193,-5.9726;-0.953446;0.0891123;0.966338;4.41002
assist2009,3,history,770,4,182,201,3;10;25;66;921
assist2009,3,rt,0,0,0,0,
assist2009,4,ability_raw,770,4,171,212,0;0.470588;0.666667;0.789474;1
assist2009,4,ability_rasch,770,4,192,193,-5.9726;-0.953446;0.0891123;0.966338;4.41002
assist2009,4,history,770,4,182,201,3;10;25;66;921
assist2009,4,rt,0,0,0,0,
assist2012,0,ability_raw,5497,4,1364,1385,0;0.583333;0.71243;0.812865;1
assist2012,0,ability_rasch,5497,4,1374,1375,-6.15604;-0.715884;-0.0575458;0.579544;4.73887
assist2012,0,history,5497,4,1341,1428,3;14;42;109;2089
assist2012,0,rt,5497,4,1374,1375,2821.7;31928.8;45777.9;62951.5;236259
assist2012,1,ability_raw,5497,4,1364,1385,0;0.583333;0.71243;0.812865;1
assist2012,1,ability_rasch,5497,4,1374,1375,-6.15604;-0.715884;-0.0575458;0.579544;4.73887
assist2012,1,history,5497,4,1341,1428,3;14;42;109;2089
assist2012,1,rt,5497,4,1374,1375,2821.7;31928.8;45777.9;62951.5;236259
assist2012,2,ability_raw,5497,4,1364,1385,0;0.583333;0.71243;0.812865;1
assist2012,2,ability_rasch,5497,4,1374,1375,-6.15604;-0.715884;-0.0575458;0.579544;4.73887
assist2012,2,history,5497,4,1341,1428,3;14;42;109;2089
assist2012,2,rt,5497,4,1374,1375,2821.7;31928.8;45777.9;62951.5;236259
assist2012,3,ability_raw,5497,4,1364,1385,0;0.583333;0.71243;0.812865;1
assist2012,3,ability_rasch,5497,4,1374,1375,-6.15604;-0.715884;-0.0575458;0.579544;4.73887
assist2012,3,history,5497,4,1341,1428,3;14;42;109;2089
assist2012,3,rt,5497,4,1374,1375,2821.7;31928.8;45777.9;62951.5;236259
assist2012,4,ability_raw,5497,4,1364,1385,0;0.583333;0.71243;0.812865;1
assist2012,4,ability_rasch,5497,4,1374,1375,-6.15604;-0.715884;-0.0575458;0.579544;4.73887
assist2012,4,history,5497,4,1341,1428,3;14;42;109;2089
assist2012,4,rt,5497,4,1374,1375,2821.7;31928.8;45777.9;62951.5;236259
assist2015,0,ability_raw,3818,4,871,1049,0;0.666667;0.769231;0.880714;1
assist2015,0,ability_rasch,3818,4,954,955,-5.29084;-0.863168;-0.337359;0.286036;4.09513
assist2015,0,history,3818,4,919,988,3;9;22;47.75;497
assist2015,0,rt,0,0,0,0,
assist2015,1,ability_raw,3818,4,871,1049,0;0.666667;0.769231;0.880714;1
assist2015,1,ability_rasch,3818,4,954,955,-5.29084;-0.863168;-0.337359;0.286036;4.09513
assist2015,1,history,3818,4,919,988,3;9;22;47.75;497
assist2015,1,rt,0,0,0,0,
assist2015,2,ability_raw,3818,4,871,1049,0;0.666667;0.769231;0.880714;1
assist2015,2,ability_rasch,3818,4,954,955,-5.29084;-0.863168;-0.337359;0.286036;4.09513
assist2015,2,history,3818,4,919,988,3;9;22;47.75;497
assist2015,2,rt,0,0,0,0,
assist2015,3,ability_raw,3818,4,871,1049,0;0.666667;0.769231;0.880714;1
assist2015,3,ability_rasch,3818,4,954,955,-5.29084;-0.863168;-0.337359;0.286036;4.09513
assist2015,3,history,3818,4,919,988,3;9;22;47.75;497
assist2015,3,rt,0,0,0,0,
assist2015,4,ability_raw,3818,4,871,1049,0;0.666667;0.769231;0.880714;1
assist2015,4,ability_rasch,3818,4,954,955,-5.29084;-0.863168;-0.337359;0.286036;4.09513
assist2015,4,history,3818,4,919,988,3;9;22;47.75;497
assist2015,4,rt,0,0,0,0,
assist2017,0,ability_raw,341,4,85,86,0.195827;0.308219;0.373134;0.469697;0.855556
assist2017,0,ability_rasch,341,4,85,86,-1.27516;-0.435507;-0.0890051;0.366792;2.19036
assist2017,0,history,341,4,85,86,12;232;425;704;2219
assist2017,0,rt,341,4,85,86,7717.4;23196.9;31049.6;41152.9;101000
assist2017,1,ability_raw,341,4,85,86,0.195827;0.308219;0.373134;0.469697;0.855556
assist2017,1,ability_rasch,341,4,85,86,-1.27516;-0.435507;-0.0890051;0.366792;2.19036
assist2017,1,history,341,4,85,86,12;232;425;704;2219
assist2017,1,rt,341,4,85,86,7717.4;23196.9;31049.6;41152.9;101000
assist2017,2,ability_raw,341,4,85,86,0.195827;0.308219;0.373134;0.469697;0.855556
assist2017,2,ability_rasch,341,4,85,86,-1.27516;-0.435507;-0.0890051;0.366792;2.19036
assist2017,2,history,341,4,85,86,12;232;425;704;2219
assist2017,2,rt,341,4,85,86,7717.4;23196.9;31049.6;41152.9;101000
assist2017,3,ability_raw,341,4,85,86,0.195827;0.308219;0.373134;0.469697;0.855556
assist2017,3,ability_rasch,341,4,85,86,-1.27516;-0.435507;-0.0890051;0.366792;2.19036
assist2017,3,history,341,4,85,86,12;232;425;704;2219
assist2017,3,rt,341,4,85,86,7717.4;23196.9;31049.6;41152.9;101000
assist2017,4,ability_raw,341,4,85,86,0.195827;0.308219;0.373134;0.469697;0.855556
assist2017,4,ability_rasch,341,4,85,86,-1.27516;-0.435507;-0.0890051;0.366792;2.19036
assist2017,4,history,341,4,85,86,12;232;425;704;2219
assist2017,4,rt,341,4,85,86,7717.4;23196.9;31049.6;41152.9;101000
algebra2005,0,ability_raw,114,2,57,57,0.388889;0.766098;0.95
algebra2005,0,ability_rasch,114,2,57,57,-2.15418;0.00873819;2.06822
algebra2005,0,history,114,2,57,57,18;482;4543
algebra2005,0,rt,114,2,57,57,20498.2;31648;57317
algebra2005,1,ability_raw,114,2,57,57,0.388889;0.766098;0.95
algebra2005,1,ability_rasch,114,2,57,57,-2.15418;0.00873819;2.06822
algebra2005,1,history,114,2,57,57,18;482;4543
algebra2005,1,rt,114,2,57,57,20498.2;31648;57317
algebra2005,2,ability_raw,114,2,57,57,0.388889;0.766098;0.95
algebra2005,2,ability_rasch,114,2,57,57,-2.15418;0.00873819;2.06822
algebra2005,2,history,114,2,57,57,18;482;4543
algebra2005,2,rt,114,2,57,57,20498.2;31648;57317
algebra2005,3,ability_raw,114,2,57,57,0.388889;0.766098;0.95
algebra2005,3,ability_rasch,114,2,57,57,-2.15418;0.00873819;2.06822
algebra2005,3,history,114,2,57,57,18;482;4543
algebra2005,3,rt,114,2,57,57,20498.2;31648;57317
algebra2005,4,ability_raw,114,2,57,57,0.388889;0.766098;0.95
algebra2005,4,ability_rasch,114,2,57,57,-2.15418;0.00873819;2.06822
algebra2005,4,history,114,2,57,57,18;482;4543
algebra2005,4,rt,114,2,57,57,20498.2;31648;57317
bridge2algebra2006,0,ability_raw,229,4,57,58,0.180645;0.801155;0.846651;0.87994;1
bridge2algebra2006,0,ability_rasch,229,4,57,58,-3.12957;-0.384096;-0.0165513;0.328509;2.71168
bridge2algebra2006,0,history,229,4,57,58,3;820;1315;1986;9137
bridge2algebra2006,0,rt,229,4,57,58,5125;14572.7;17743.3;21593.9;85444.4
bridge2algebra2006,1,ability_raw,229,4,57,58,0.180645;0.801155;0.846651;0.87994;1
bridge2algebra2006,1,ability_rasch,229,4,57,58,-3.12957;-0.384096;-0.0165513;0.328509;2.71168
bridge2algebra2006,1,history,229,4,57,58,3;820;1315;1986;9137
bridge2algebra2006,1,rt,229,4,57,58,5125;14572.7;17743.3;21593.9;85444.4
bridge2algebra2006,2,ability_raw,229,4,57,58,0.180645;0.801155;0.846651;0.87994;1
bridge2algebra2006,2,ability_rasch,229,4,57,58,-3.12957;-0.384096;-0.0165513;0.328509;2.71168
bridge2algebra2006,2,history,229,4,57,58,3;820;1315;1986;9137
bridge2algebra2006,2,rt,229,4,57,58,5125;14572.7;17743.3;21593.9;85444.4
bridge2algebra2006,3,ability_raw,229,4,57,58,0.180645;0.801155;0.846651;0.87994;1
bridge2algebra2006,3,ability_rasch,229,4,57,58,-3.12957;-0.384096;-0.0165513;0.328509;2.71168
bridge2algebra2006,3,history,229,4,57,58,3;820;1315;1986;9137
bridge2algebra2006,3,rt,229,4,57,58,5125;14572.7;17743.3;21593.9;85444.4
bridge2algebra2006,4,ability_raw,229,4,57,58,0.180645;0.801155;0.846651;0.87994;1
bridge2algebra2006,4,ability_rasch,229,4,57,58,-3.12957;-0.384096;-0.0165513;0.328509;2.71168
bridge2algebra2006,4,history,229,4,57,58,3;820;1315;1986;9137
bridge2algebra2006,4,rt,229,4,57,58,5125;14572.7;17743.3;21593.9;85444.4
ednet,0,ability_raw,937,4,227,247,0;0.375;0.5;0.656174;1
ednet,0,ability_rasch,937,4,234,235,-4.13451;-0.490801;0.0665617;0.660747;3.98628
ednet,0,history,937,4,176,308,3;7;14;40;8913
ednet,0,rt,937,4,229,239,1000;19066.5;23000;29142.9;102571
ednet,1,ability_raw,937,4,227,247,0;0.375;0.5;0.656174;1
ednet,1,ability_rasch,937,4,234,235,-4.13451;-0.490801;0.0665617;0.660747;3.98628
ednet,1,history,937,4,176,308,3;7;14;40;8913
ednet,1,rt,937,4,229,239,1000;19066.5;23000;29142.9;102571
ednet,2,ability_raw,937,4,227,247,0;0.375;0.5;0.656174;1
